ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_05-11-2015;ALABARDA;7;5;56,5;V. JANACEK;IL PADRINO;J. LOPEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_05-11-2015;MUNGAMIS (GB) (7.000);2;4;61;V. JANACEK;JIMENA;B. RAMA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
5_05-11-2015;RICHELIEU (FR) (7.000);99;4;61;N. DE JULIAN (59,5);CORVITGALOPE;I. MENDES;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
5_05-11-2015;INNUENDO (5.000);4;4;59;R. SOUSA;CELV;I. MENDES;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
5_05-11-2015;LUNA BRUNA (FR) (7.000);6;8;58,5;SR. MELGAREJO. I (56,5);CARLOS ALVES;C. ALVES;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
5_05-11-2015;HONG KONG BOY (FR) (4.000);1;9;57;M. GOMES;QUINTA SANTA JUSTA;C. VIDINHA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
5_05-11-2015;BLACKBERRY BOY (GB) (4.000);3;11;56;B. FAYOS;SUNSHINE RACING;P. HALEY;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
5_05-11-2015;TUBAL (GB) (4.000);5;5;56;E.J. ARGUINZONES;YEGUADA BALBAS ALONSO;E. PUENTE;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
5_05-11-2015;FAVOURITE GIRL (POR) (4.000);7;5;54,5;A. GOMEZ (B. BLANCA);CARLOS ALVES;C. ALVES;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
;;;;;;;;;;;
