ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_02-12-2012;BELEFORONTE (IRE);7;58;3;A. GOMEZ;INSTAGONZA;F. PEREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_02-12-2012;MORNING MUSE (IRE);99;56;3;J.L. BORREGO;NORTENHA;T. MARTINS;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_02-12-2012;EAGRET (POR);5;56;3;J.E. JARCOVSKY;MID WEST LDA.;J. CALDERON;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_02-12-2012;BLADE RUNNER;9;54;3;J.L. MARTINEZ;RACHAEL TEASDALE RACING;J. L. EYRE;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_02-12-2012;OJO DE HALCON (IRE);8;50;4;A. GUTIERREZ B. (47);LAS AGUILAS;A. GUTIERREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_02-12-2012;LEADER LADY;10;50;5;M. SECCI (52,5) (BDA. ROJA);LAS AGUILAS;A. GUTIERREZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_02-12-2012;DIXLESIO (IRE);3;62;4;J. HORCAJADA;RIAS BAIXAS;R. LOPEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;BLACKBERRY BOY (IRE);5;61;8;SR. BENITEZ, D. (59);SUNSHINE RACING;P. HALEY;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;LIBRETRASTO;4;59;4;SR.SARABIA, D.;RIO CUBAS;D. SARABIA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;CHIRIVITO;7;58;4;SRTA. CASADO, M. (56);UNIVERSAL MERCHAN;J. LOPEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;GIMENA;10;58;3;J. GROSJEAN;REZA PAZOOKI;F. RODRIGUEZ;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;INDIAN LOU;6;57;5;J.L. BORREGO;BARREIRO;J. C. ROSELL;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;PENDENCIERO (USA);9;57;5;R.H. HUAYAS;LA PAZ;J. A. RODRIGUEZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;SUKARRIETA;2;57;3;V. JANACEK;SAN MAMES;G. ARIZCORRETA;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;RAMALLAH;99;56;4;J.M. SANCHEZ C. (54);ODISEA;I. GOMEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;DELLA BEND (FR);8;56;4;F. JIMENEZ;JIMENA;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;BARAÑAIN;1;54;3;J.L. MARTINEZ;DOS ANGELES;D. DIEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_02-12-2012;LONGUEIRON;11;54;3;A. GOMEZ;PEREIRA SAT;J. C. LOPERA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_02-12-2012;ANGEL MELODY (FR);1;59;6;SR. SARABIA, D.;RIO CUBAS;D. SARABIA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
5_02-12-2012;CORCUBION;3;59;7;SR. NARVAEZ, M. (56);PEREIRA SAT;J. C. LOPERA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
5_02-12-2012;SERGEI (IRE);4;59;4;R. RAMOS;SUREÑA;J. A. RODRIGUEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
5_02-12-2012;COMPTON PARK (GB);2;58;5;V. JANACEK;RACHAEL TEASDALE RACING;J. L. EYRE;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
5_02-12-2012;SAPHIRSIDE (IRE);6;58;3;J. GROSJEAN;SAFSAF;M. DELCHER. S;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
5_02-12-2012;ALBRET (IRE);8;57;3;J.L. MARTINEZ;ASOC. WHYLAR-VALLADOLID;G. ARIZCORRETA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
5_02-12-2012;EL AFRICANO;7;57;5;J.L. BORREGO;LAS AGUILAS;A. GUTIERREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
5_02-12-2012;ALMAZORA (GB);5;56,5;3;A. GOMEZ;EL HERROJO;J. M. OSORIO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
