ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_23-07-2011;BUEN VIAJE;3;4;62;V. JANACEK;NUEVE DE JULIO;T. MARTINS;2;Hipódromo Costa del Sol.;2200;ARENA
1_23-07-2011;SOFGUI (IRE);4;5;60;E. MELIAN ( 58);COLISA;J. A. RODRIGUEZ;3;Hipódromo Costa del Sol.;2200;ARENA
1_23-07-2011;KAHMPANILLA;6;3;59;C. FERNANDEZ (57);LOS COMILONES;J. C. FERNANDEZ;1;Hipódromo Costa del Sol.;2200;ARENA
1_23-07-2011;DROP RISK(FR);2;8;58;I. LOPEZ;LABERINTO;O. ANAYA;5;Hipódromo Costa del Sol.;2200;ARENA
1_23-07-2011;OTRANTO;5;4;54;M. GOMES;COMANSI;J. C. FERNANDEZ;6;Hipódromo Costa del Sol.;2200;ARENA
1_23-07-2011;DOVERY;1;5;53;R. NAYLOR (51);COURTNEY;J. L. EYRE;4;Hipódromo Costa del Sol.;2200;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_23-07-2011;CHITON;5;3;57;SRTA. GELABERT, L.(53);Y.CORTIÑAL;J. A. RODRIGUEZ;7;Hipódromo Costa del Sol.;2100;ARENA
2_23-07-2011;CUDON(IRE);3;3;57;A. FUSCO;RONCESVALLES;M. AUGELLI;2;Hipódromo Costa del Sol.;2100;ARENA
2_23-07-2011;DON ANDRES(GB);99;3;57;B. FAYOS;ANTON;B. RAMA;1;Hipódromo Costa del Sol.;2100;ARENA
2_23-07-2011;DON FLORENTINO;6;3;57;M. GOMES;NORTENHA;T. MARTINS;3;Hipódromo Costa del Sol.;2100;ARENA
2_23-07-2011;KURDO(FR);1;3;57;V. JANACEK;AGF;G. ARIZCORRETA;6;Hipódromo Costa del Sol.;2100;ARENA
2_23-07-2011;ALTEZA(IRE);2;3;55,5;M. SECCI;MIRINDA RACING, S.C.;T. MARTINS;4;Hipódromo Costa del Sol.;2100;ARENA
2_23-07-2011;MISS CORONITA;4;3;55,5;I. LOPEZ (56);B. P. SAN MATEO;O. ANAYA;5;Hipódromo Costa del Sol.;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_23-07-2011;MUSTAQER (IRE);6;5;63;SR. BENITEZ, D. (61);SAN ACACIO;O. ANAYA;7;Hipódromo Costa del Sol.;2200;ARENA
