;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1-20/11/2011;KIUMARS (IRE);7;58;2;J. GROSJEAN;REZA PAZOOKI;F. RODRÍGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;CALITXO (IRE);5;57;2;J.L. BORREGO;M & K RACING;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;CHIQUI (IRE);4;57;2;C. FERNÁNDEZ;SUFLÉ;J.C. FERNÁNDEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;MASIVO MAN (IRE);1;57;2;J.E. JARCOVSKY;CELSO MENDEZ;M. ÁLVAREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;LA NIÑA (IRE);6;55,5;2;J. CROCQUEVIEILLE;ROCHE;M. ÁLVAREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;QUEEN DYHIM (FR);8;55,5;2;F. JIMÉNEZ;ALISARES;A. SÁNCHEZ C.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;SCARLATTI;2;55,5;2;V. JANACEK;YEGUADA CORTIÑAL;J.M BORREGO;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;VIA MEYDAN (IRE);3;55,5;2;O. O. URBINA;MALDON;M. DELCHER S;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
1-20/11/2011;MY FAIR LADY;9;53,5;2;M. SECCI;LAS AGUILAS;G. VILLARTA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2-20/11/2011;CHITON;1;60;3;D. DELGADO;FRANCISCO DE JULIAN;J.A RODRÍGUEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;DON PABLOS (IRE);4;60;3;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;EAGLE CANYON (IRE);2;60;3;V. JANACEK;TINERFE;J. CALDERÓN;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;SUPER NENA (IRE);5;56,5;3;SRTA. GELABERT, L. (52,5);CELANOVA;J.A RODRÍGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;BLUE SKY;10;56;3;M. SECCI;LAS AGUILAS;G. VILLARTA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;OMNIPOTENT (IRE);3;56;3;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;VAL DA MAHIA;6;56;3;A. GOMEZ (53);PALMA REAL;J.M BORREGO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;BATILIA;12;54,5;3;J.L. BORREGO (55);DUO;J. SALGUERO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;CARABELLE;7;54,5;3;F. JIMÉNEZ (55);ALISARES;A. SÁNCHEZ C;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;CUÑATAY;11;54,5;3;S. MARTÍN;GUAICURU;A.R ACOSTA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;LA GALEA (IRE);9;54,5;3;E. MELIÁN (52);COLISA;J.A RODRÍGUEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
2-20/11/2011;PARTOVIA;8;54,5;3;R. NAYLOR (51,5);BOREAL;T. CALLEJO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3-20/11/2011;ESQUIO;2;62;4;J. CROCQUEVIEILLE;PEREIRA SAT;J.C LOPERA;14;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;BURNING LIGHT (IRE);14;62;4;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;EL AFRICANO;10;62;5;J.C. CERQUEIRA;LAS AGUILAS;G. VILLARTA;15;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;HIGHSIDE (IRE);7;61;3;O. O. URBINA;MARISOL;R. LÓPEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;MUNRO'S DRAGON (GB);12;60;3;V. JANACEK;NANINA;J. CALDERÓN;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;DELLA BEND (FR);13;60;3;J.L. BORREGO;JIMENA;B. RAMA;18;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;SACRAMENTO;18;60;3;SRTA. GELABERT, L. (58);AREVACOS;J.A RODRÍGUEZ;13;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;GOMINOLA (IRE);1;60;3;J.L. MARTÍNEZ;CANTER;J.L MARTÍNEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;COLELARA (FR);15;60;4;F. JIMÉNEZ;SANLUQUEÑA;J. CALDERÓN;17;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;ZENOTZ;8;59;3;J. GROSJEAN;SAFSAF;F. RODRÍGUEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;VALESKA;19;59;3;J.J. SALGUERO;VIENTOS DEL SUR;J. SALGUERO;19;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;COVELO;5;58;6;D. DELGADO (B. BLANCA);PEREIRA SAT;J.C LOPERA;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;HARRY CAN SAY (GB);11;58;3;R. H. HUAYAS;OS COISAS DOCES;J.M SILVA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;DIAMOND FOR EVER;6;57;4;M. GOMES;ADELAI;F. RODRÍGUEZ;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;GRAN AGUILA (IRE);9;56;5;J.E. JARCOVSKY;IGKAMAR;M. ÁLVAREZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;MEARI (ARG);4;56;4;C. CAZALIS;MI VIEJITA;J.C. FERNÁNDEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;MISS CLAUSS;17;54;3;A. GÓMEZ (52) (B. ROJA);NANINA;J. CALDERÓN;16;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;GOLD SNAKE (IRE);16;54;3;V. SÁNCHEZ (52);PASTELERIA SANTO ANDRE;J.M SILVA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
3-20/11/2011;GREEN NIGHT (IRE);3;50;3;M. SECCI (51) (B. ROJA);LAS AGUILAS;G. VILLARTA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4-20/11/2011;BLAISE TOWER (GB);2;62;5;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;LA RUBIA (IRE);1;62;5;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;IBSAAR (GB);8;61;3;J.E. JARCOVSKY;TINERFE;J. CALDERÓN;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;SINGAPORE GUY (FR);3;61;5;F. JIMÉNEZ;CELSO MENDEZ;E. GALLARDO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;OPUS;5;59;3;R. RAMOS;ROMALU;B.J RECIO;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;MALKOVA (FR);10;58;3;J. GROSJEAN;YUDAKOVA;J.A RODRÍGUEZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;BIPOLAR;4;58;3;M. GOMES;STAND VITORIA;L.A OLIVEIRA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;PEACH BLOOM (GB);12;58;3;O. O. URBINA;LA TOLEDANA;J.L MAROTO;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;CAÑADIO (IRE);6;57;4;J.L. MARTÍNEZ;HISPANICA;J.C. FERNÁNDEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;GALUA (IRE);9;56;6;A. GÓMEZ (54);TURF LA GARE;R. LÓPEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;OTTAWA;7;56;4;V. JANACEK;YEGUADA COTIÑAL;B.J RECIO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-20/11/2011;LISSELAN PHAROAH (USA);11;56;4;S. MARTÍN;LISSELAN FARMS LTD;A.R ACOSTA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5-20/11/2011;KAYSERI;2;58;4;J.L. BORREGO;AREVACOS;A. CARRASCO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
5-20/11/2011;MONSAGRO;6;58;4;J.E. JARCOVSKY;LA GITANA;J. HIDALGO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
5-20/11/2011;TURRIALBA;5;58;4;I. LOPEZ;INSTAGONZA;O. ANAYA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
5-20/11/2011;VOLAPIE;1;58;4;R.H. HUAYAS;ROMANA ALTA;M.J PÉREZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
5-20/11/2011;DIAMANT DU SOLEIL;4;57;3;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
