ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_04-12-2011;PEDREÑA;14;59;4;F. JIMÉNEZ (B. BLANCA);HISPANICA;J. C. FERNÁNDEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;EL AFRICANO;1;58;4;R. RAMOS;LAS ÁGUILAS;G. VILLARTA;20;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;SUPER NENA (IRE);11;58;3;E. MELIÁN (56);CELANOVA;J. A. RODRÍGUEZ;10;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;ARTICO (USA);10;57;3;B. FAYOS;CHICAGO;M. DELCHER. S;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;FOLGOSO;9;57;3;J.M. SANCHEZ C. (55);MARES;A. GUTIÉRREZ;14;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;NAZARENO HEN (IRE);16;57;3;J. CROCQUEVIEILLE;DUO;J. SALGUERO;13;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;SARAHZEM;8;57;3;J.L. BORREGO;CIELO DE MADRID;O. RODRÍGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;BAILONGO;17;56;3;O.O. URBINA;INDIA;F. RODRÍGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;EL GUAJE (IRE);12;56;5;A. GÓMEZ (54);LAMASON;H. LÓPEZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;MUNRO'S DRAGON (GB);4;56;3;V. JANACEK;NANINA;J. CALDERÓN;18;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;VALESKA;99;55;3;SRTA. GELABERT, L. (53);VIENTOS DEL SUR;J. SALGUERO;19;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;IZABARRE;15;55;3;SRTA. ZAPICO, S.;DOS DE MAYO;M. HERNÁNDEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;COVELO;6;54;6;D. DELGADO (55);PEREIRA SAT;J. C. LOPERA;12;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;LISSELAN QUEEN (IRE);18;54;5;S. MARTÍN;LISSELAN FARMS;A. R. ACOSTA;15;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
3_04-12-2011;LUTHJET;3;54;4;M. SECCI (B. ROJA);LAS AGUILAS;G. VILLARTA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_04-12-2011;DON PABLOS (IRE);3;62;3;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;BOMBADIL(IRE);6;61;4;V. JANACEK;JEREZANA;J. CALDERÓN;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;DAVAY (USA);5;61;3;D. DELGADO;LUIS. A. NUÑEZ;J. A. RODRÍGUEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;IBSAAR (GB);2;60;3;B. FAYOS;TINERFE;J. CALDERÓN;11;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;IRAIZOTZ;8;60;4;O.O. URBINA;BENALMÁDENA;A. CARRASCO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;FLASH VAL;12;60;3;J.L. MARTÍNEZ;REZA PAZOOKI;F. RODRÍGUEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;QUEENSIDE (USA);9;60;3;E. MELIÁN (58);LA VICTORIA;J. A. RODRÍGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;ALIRON;1;58;3;J.L. BORREGO;A GRANXA;J. M. BORREGO. R;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;VENTURA;11;58;3;A. GÓMEZ (56);DOMI;O. RODRÍGUEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;BOREAS;10;58;4;J.E. JARCOVSKY;CELSO MÉNDEZ;M. ÁLVAREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;SALTERGATE (GB);4;58;3;I. LÓPEZ;INSTAGONZA;O. ANAYA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
4_04-12-2011;VALLE DEL RONCAL;7;57;3;J. GROSJEAN;SAFSAF;F. RODRÍGUEZ;10;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1500;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_04-12-2011;COSIDE (USA);4;58;3;J. GROSJEAN;SAFSAF;M. DELCHER. S;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
5_04-12-2011;DIAMANT DU SOLEIL (FR);1;58;3;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
5_04-12-2011;BETANZOS;5;57;3;V. JANACEK;LLAS;J. L. VALVERDE;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
5_04-12-2011;DEL COSSA (FR);2;57;3;B. FAYOS;RIO CUBAS;J. C. FERNÁNDEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
5_04-12-2011;MENELDOR;3;57;3;O.O. URBINA;GONZALO HERNANDO-ABOÍN;A. CARRASCO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
5_04-12-2011;VOLCAN CANARIAS (IRE);99;56;3;J.L. MARTÍNEZ;GRUPO BOLAÑOS;E. LEÓN;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
