;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4-18/12/2011;GAMBERRO;1;61;3;B. FAYOS;ZEBRA;J. C. FERNÁNDEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
4-18/12/2011;PARTOVIA;9;60;3;F. ALVARADO;BOREAL;T. CALLEJO;10;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
4-18/12/2011;BUEN VIAJE;99;59;4;I. LÓPEZ;NUEVE DE JULIO;T. MARTINS;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
4-18/12/2011;HANDSOME HUGO;10;59;3;J.C. CERQUEIRA;LA SUECA;J. C. LOPERA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
4-18/12/2011;LA GALEA;5;58;3;J. CROCQUEVIEILLE;COLISA;J. A. RODRÍGUEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
4-18/12/2011;LEADER LADY;6;56;4;R. RAMOS;LAS AGUILAS;G. VILLARTA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
4-18/12/2011;ALTER KAISER (GER);8;54;7;J. M. SÁNCHEZ C. (52);GERONIMO ANGULO;J. SALGUERO;11;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
4-18/12/2011;XAMURAY;4;53;7;A. GÓMEZ (52);BOBBY;I. GÓMEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5-18/12/2011;BARKING (IRE);5;61;3;I. LÓPEZ;B. P. SAN MATEO;O. ANAYA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
5-18/12/2011;CARIOKA;2;59,5;3;F. JIMENEZ;YEGUADA CORTIÑAL;J. C. FERNÁNDEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
5-18/12/2011;PICHUCA;6;59,5;3;J. L. BORREGO;ROMANA ALTA;M. J. PÉREZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
5-18/12/2011;CAÑADIO (IRE);3;59;4;J. L. MARTÍNEZ;HISPANICA;J. C. FERNÁNDEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
5-18/12/2011;SERGEI (IRE);1;59;3;J. CROCQUEVIEILLE;SAN JOSÉ;J. A. RODRÍGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
5-18/12/2011;SANTI GULCH (IRE);4;57;3;J. C. CERQUEIRA;PAGANINI;T. CALLEJO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
5-18/12/2011;CAPTAIN BLUEBIRD (IRE);7;56;4;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1000;HIERBA
