ID;CABALLO;POSICION;PESOS;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
ID;CABALLO;POSICION;PESOS;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_24-12-2011;BAHRAJ (USA);10;62;4;I. LÓPEZ;B. P. SAN MATEO;O. ANAYA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;RUBENS;1;60;6;J. GROSJEAN;CORTIÑAL;J. C. FERNÁNDEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;LITERARIO;12;59;3;F. JIMÉNEZ;LOS ESPARTANOS;J. C. FERNÁNDEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;SOUTH AFRICAN GOLD (USA);4;58;4;J.E. JARCOVSKY;CASTILLO DE CHARETA;B. RAMA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;BOMBADIL (IRE);6;58;4;V. JANACEK;JEREZANA;J. CALDERÓN;11;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;PRECIADOS (GB);8;58;5;J. CROCQUEVIEILLE;RETIRO;M. ÁLVAREZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;LISSELAN RIGHTCALL (USA);5;56;7;S. MARTÍN;LISSELAN FARMS;A. R. ACOSTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;EL AFRICANO;3;55;3;R. RAMOS (56);LAS AGUILAS;G. VILLARTA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;SALTERGATE (GB);9;55;3;J.M. SANCHEZ CUEVAS (53);INSTAGONZA;O. ANAYA;10;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;VENTURA;11;53;3;E. MELIÁN (52);DOMI;O. RODRÍGUEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;ARIZA;2;53;4;A. GÓMEZ (51,5);LUZERPALHA;T. MARTINS;9;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
4_24-12-2011;BOREAS;7;53;4;C. CAZALIS;CELSO MENDEZ;M. ÁLVAREZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1400;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESOS;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_24-12-2011;VOLAPIE;1;59,5;4;R. HUAYAS;ROMANA ALTA;M. J. PEREZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2200;HIERBA
5_24-12-2011;KURUCHET (ARG);5;58,5;4;V. JANACEK;SAN ACACIO;J. CALDERÓN;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2200;HIERBA
5_24-12-2011;CABO CAÑAVERAL (FR);99;57,5;6;J. CROCQUEVIEILLE;SALVADOR MÁRQUEZ;J. LÓPEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2200;HIERBA
5_24-12-2011;JIMMY FALABELLA (IRE);3;57,5;6;J.C. CERQUEIRA;C.D.H. LOS ASPIRANTES 2 TUMBOS;T. CALLEJO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2200;HIERBA
5_24-12-2011;KARLUV MOST (FR);2;56,5;5;O.O. URBINA;CHOLAICA;J. L. MAROTO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2200;HIERBA
5_24-12-2011;LISSELAN GRACE (IRE);4;55;4;S. MARTÍN;LISSELAN FARMS;A. R. ACOSTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2200;HIERBA
