ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_03-06-2012;ALBUHERA;1;2 años;58;J.HORCAJADA;CACHARELA;RODRIGUEZ, J.A.;7;Hipódromo LA ZARZUELA;1100;HIERBA
1_03-06-2012;LOLITA PLUMA (GB);5;2 años;56;J.GROSJEAN;ASOCIACION SAFSAF-LOS TONELES;RODRIGUEZ, F.;3;Hipódromo LA ZARZUELA;1100;HIERBA
1_03-06-2012;MAMBIS (IRE);4;2 años;56;V.JANACEK;RIAS BAIXAS;LOPEZ, R.;6;Hipódromo LA ZARZUELA;1100;HIERBA
1_03-06-2012;SHIRGITA;7;2 años;56;R.HUAYAS;CORRALEJO;HUAYAS, R.;4;Hipódromo LA ZARZUELA;1100;HIERBA
1_03-06-2012;YAKARAK;2;2 años;56;J.CROCQUEVIEILLE;YEGUADA MILAGRO;CALLEJO S., T;1;Hipódromo LA ZARZUELA;1100;HIERBA
1_03-06-2012;ALHACENA;6;2 años;54;F.JIMENEZ (55);CIELO DE MADRID;RODRIGUEZ, O.;2;Hipódromo LA ZARZUELA;1100;HIERBA
1_03-06-2012;CANTARELLA (IRE);3;2 años;54;A.GOMEZ;ODISEA;GOMEZ, I.;5;Hipódromo LA ZARZUELA;1100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_03-06-2012;ARNUERO (GB);2;4 años;61;J.HORCAJADA;MEDREAL;DELCHER S., M.;1;Hipódromo LA ZARZUELA;2200;HIERBA
2_03-06-2012;DON HERNANDO HAB;6;4 años;61;S.BERMEJO;GONZALO HERNANDO-ABOIN;CARRASCO, A.;3;Hipódromo LA ZARZUELA;2200;HIERBA
2_03-06-2012;MENELDOR (IRE);3;4 años;60;F.JIMENEZ (B.Blanca);GONZALO HERNANDO-ABOIN;CARRASCO, A.;2;Hipódromo LA ZARZUELA;2200;HIERBA
2_03-06-2012;CLUNIA (IRE);5;4 años;59,5;B.FAYOS;BRAZACORTA;VILLARTA, G.;4;Hipódromo LA ZARZUELA;2200;HIERBA
2_03-06-2012;SEÑOR MIRANDA (GB);4;5 años;58;R.C.MONTENEGRO;LOS TONELES;RODRIGUEZ, F.;6;Hipódromo LA ZARZUELA;2200;HIERBA
2_03-06-2012;KARLUV MOST (FR);1;6 años;57;C.NORA;CHOLAICA;MAROTO,J.L.;5;Hipódromo LA ZARZUELA;2200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_03-06-2012;CIELO CANARIAS (IRE);6;4 años;61;A.GOMEZ;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;5;Hipódromo LA ZARZUELA;1400;HIERBA
3_03-06-2012;SHUMOOKH (IRE);2;9 años;61;V.JANACEK;C.D.H. LOS ASPIRANTES 2 TUMBOS;CALLEJO S., T;3;Hipódromo LA ZARZUELA;1400;HIERBA
3_03-06-2012;DUNEDAIN (GB);5;4 años;60;SR SARABIA,D.;RIO CUBAS;FERNANDEZ R., J.C.;4;Hipódromo LA ZARZUELA;1400;HIERBA
3_03-06-2012;RISBY (IRE);1;4 años;60;J.CROCQUEVIEILLE;VIGURIA;OSORIO, J.M.;1;Hipódromo LA ZARZUELA;1400;HIERBA
3_03-06-2012;EL FENIX;8;6 años;59;R.RAMOS;PEÑARROYA;GALLIPOLI, C.;9;Hipódromo LA ZARZUELA;1400;HIERBA
3_03-06-2012;GOLFO PERSICO (IRE);3;4 años;59;M.BORREGO;TONELES PAZOOKI;RODRIGUEZ, F.;8;Hipódromo LA ZARZUELA;1400;HIERBA
