ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_22-04-2011;SANDULCES;1;4;68;SR. SOTO, A.;CELSO MENDEZ;M. ALVAREZ;7;Hipódromo Costa del Sol.;1800;ARENA
1_22-04-2011;MISSIN;3;5;65;SRTA. ZAPICO, S.;KINGS RACING;B. RAMA;8;Hipódromo Costa del Sol.;1800;ARENA
1_22-04-2011;MISTER LUCKY(FR);5;7;65;SR. DE JULIAN, N. (61);DOS HERMANOS;J. C. MARTINEZ;2;Hipódromo Costa del Sol.;1800;ARENA
1_22-04-2011;NAVARON;6;5;65;SR. ESCARIO, J.I.;Y. CORTIÑAL;J. M. BORREGO R.;3;Hipódromo Costa del Sol.;1800;ARENA
1_22-04-2011;OCEANINTERNATIONAL(USA);7;11;65;SR. BENITEZ, D.;SUNSHINE RACING;P. HALEY;1;Hipódromo Costa del Sol.;1800;ARENA
1_22-04-2011;ENXEBRE;8;4;63,5;SRTA. RODRIGUEZ, G.(61,5)(B.R);CELSO MENDEZ;E. OLGADO;5;Hipódromo Costa del Sol.;1800;ARENA
1_22-04-2011;FLOW BOY(IRE);2;7;63,5;SR. PINEDA, G. (61,5);PADRONESA;J. A. RODRIGUEZ;6;Hipódromo Costa del Sol.;1800;ARENA
1_22-04-2011;LISSELAN PHAROAH (USA);4;4;62;SR. SANTANA, A.(58);LISSELAN FARMS;A. R. ACOSTA;4;Hipódromo Costa del Sol.;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_22-04-2011;DUENDE;5;3;58;J. GROSJEAN;BLOKE;J. A. RODRIGUEZ;8;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;GREDOS;3;3;58;I. LOPEZ;INSTAGONZA;O. ANAYA;12;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;EL PIPA HI;2;3;56;D. DELGADO;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;11;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;MAGNUM;1;3;56;V. JANACEK;Y. CORTIÑAL;J. A. RODRIGUEZ;5;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;DELIRADA;6;3;55,5;M. SALOKANTO(56,5)(B.R);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;14;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;BATILIA;11;3;54,5;A. GOMEZ;GUADALIMAR;J. SALGUERO;2;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;EVA DE SARON;10;3;54,5;S. MARTIN;LABERINTO;E.OLGADO;4;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;SARAHZEM;8;3;54,5;M. GOMES;CIELO DE MADRID;O. RODRIGUEZ;1;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;VALESKA;7;3;54,5;J. L. BORREGO (55);DELAR;J. SALGUERO;9;Hipódromo Costa del Sol.;1300;ARENA
