Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_30-12-2012;PETITE VISION;1;58;2;A. GOMEZ;LA SUECA;LOPERA, J.C.;6;Gran Hipódromo de Andalucía;1500;HIERBA
1_30-12-2012;BETTY;6;56;2;M. GOMES;REZA PAZOOKI;RODRIGUEZ, F.;2;Gran Hipódromo de Andalucía;1500;HIERBA
1_30-12-2012;SHIRGITA;4;56;2;M. SECCI;CORRALEJO;GUTIERREZ, A.;5;Gran Hipódromo de Andalucía;1500;HIERBA
1_30-12-2012;SONIC CHAPARRAL (IRE);2;56;2;O.O. DE URBINA;TIZIANO;DELCHER S., M.;4;Gran Hipódromo de Andalucía;1500;HIERBA
1_30-12-2012;CALABAZAS (FR);5;54;2;J.L. BORREGO;ODISEA;GOMEZ, I.;3;Gran Hipódromo de Andalucía;1500;HIERBA
1_30-12-2012;FIGUEIRAS;7;54;2;R.H. HUAYAS;PEREIRA S.A.T.;LOPERA, J.C.;7;Gran Hipódromo de Andalucía;1500;HIERBA
1_30-12-2012;SUNAMI;3;54;2;N. GARCIA;COLISA;RODRIGUEZ, J.A.;1;Gran Hipódromo de Andalucía;1500;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_30-12-2012;MAKALALI (IRE);5;64;3;SR. BENITEZ, D.;MARTEL SANCHEZ;ANAYA, O.;7;Gran Hipódromo de Andalucía;1600;HIERBA
2_30-12-2012;FINLEY CONNOLLY (IRE);2;62;3;SR. MARTIN A., R.;AMIGA;ALVAREZ, M.;2;Gran Hipódromo de Andalucía;1600;HIERBA
2_30-12-2012;GALILEUS;6;62;3;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;3;Gran Hipódromo de Andalucía;1600;HIERBA
2_30-12-2012;VICTOR'S BET;1;62;3;SR. NARVAEZ, M.A. (58);BETVICTOR;HALEY, P.;6;Gran Hipódromo de Andalucía;1600;HIERBA
2_30-12-2012;CHIQUI (IRE);3;61;3;SRTA. ALONSO, B. (57);SUFLE;FERNANDEZ R., J.C.;1;Gran Hipódromo de Andalucía;1600;HIERBA
2_30-12-2012;DELFOSIDE;4;60;3;SRTA. LOPEZ L., D.;SAFSAF;DELCHER S., M.;4;Gran Hipódromo de Andalucía;1600;HIERBA
2_30-12-2012;CASTELLANA;7;59,5;3;SR. GUTIERREZ D., A. (55,5);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;5;Gran Hipódromo de Andalucía;1600;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_30-12-2012;TRESENPUNTO;5;62;4;J. HORCAJADA;DONALFA;PEREZ, M.J.;3;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;COVELO;4;61;7;A. GOMEZ;VALLE DE ANLEO;LOPERA, J.C.;8;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;GUERAL;2;61;3;J.L. BORREGO;SAN ANTONIO;MAROTO, J.L.;5;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;EAGRET (POR);1;59;3;J.E. JARCOVSKY;MILD WEST, LDA.;CALDERON, J.;4;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;MERLIN;3;57;3;R. RAMOS;LOS NIÑOS;SALGUERO, J.;9;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;LA NAVA;6;55;3;N. GARCIA;SUREÑA;RODRIGUEZ, J.A.;1;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;SONOLONGO;8;54;4;A. GUTIERREZ B. (51);SONOS DA BAIXA LIMIA;GUTIERREZ, A.;6;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;ASTORGANO;7;51;4;E. MELIAN (53);LAS AGUILAS;GUTIERREZ, A.;7;Gran Hipódromo de Andalucía;2100;HIERBA
3_30-12-2012;OJO DE HALCON (IRE);99;50;4;M. SECCI (52,5) (BDA. ROJA);LAS AGUILAS;GUTIERREZ, A.;2;Gran Hipódromo de Andalucía;2100;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_30-12-2012;BLACKBERRY BOY (IRE);10;62;8;A. GOMEZ;SUNSHINE RACING;HALEY, P.;3;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;DUKE (GER);5;61;6;F. JIMENEZ;ALISARES;VALENTI, B.;2;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;LIBRETRASTO;6;61;4;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;9;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;BARAÑAIN;3;60;3;O.O. DE URBINA;DOSANGELES;DIEZ, D;7;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;INDIAN LOU;1;58;5;J.L. BORREGO;BARREIROS;ROSELL, J.C.;1;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;GAMBERRO (IRE);9;57;4;J. HORCAJADA;ZEBRA;FERNANDEZ R., J.C.;5;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;PENDENCIERO (USA);2;57;5;R.H. HUAYAS;LA PAZ;RODRIGUEZ, J.A.;4;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;POMPOM COEUR;8;57;3;J.E. JARCOVSKY;EL POSTIGO;CALDERON, J.;10;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;ECO JAR;4;56;5;M. GOMES;REZA PAZOOKI;RODRIGUEZ, F.;8;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;ORLOV;7;55;6;M. SECCI;AGRADO;CALLEJO S., T;11;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;THE BELONGER (USA);99;54;5;E. MELIAN (52);LISSELAN FARMS;ACOSTA, A.R;12;Gran Hipódromo de Andalucía;2100;HIERBA
4_30-12-2012;YUCATAN;99;52;3;J.M. SANCHEZ C. (50);A GRANXA;BORREGO R , J. M.;6;Gran Hipódromo de Andalucía;2100;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_30-12-2012;ANGEL MELODY (FR);6;59,5;6;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;1;Gran Hipódromo de Andalucía;1600;HIERBA
5_30-12-2012;INDIANO;1;59,5;4;A. GOMEZ;EL POTRO CLUB;ARIZKORRETA, G.;2;Gran Hipódromo de Andalucía;1600;HIERBA
5_30-12-2012;WHISTLEINTHEWIND (IRE);3;58,5;5;O.O. DE URBINA;NANINA;CALDERON, J.;3;Gran Hipódromo de Andalucía;1600;HIERBA
5_30-12-2012;EL AFRICANO;2;57,5;5;M. SECCI;LAS AGUILAS;GUTIERREZ, A.;6;Gran Hipódromo de Andalucía;1600;HIERBA
5_30-12-2012;DON FERNANDO HAB;4;56,5;4;J.E. JARCOVSKY;VADILLO;CARRASCO, A.;7;Gran Hipódromo de Andalucía;1600;HIERBA
5_30-12-2012;VOLCANICO (IRE);99;56,5;4;M. BORREGO;LOS TONELES;RODRIGUEZ, F.;4;Gran Hipódromo de Andalucía;1600;HIERBA
5_30-12-2012;ALMAZORA (GB);5;55,5;3;J. HORCAJADA;EL HERROJO;OSORIO, J.M.;5;Gran Hipódromo de Andalucía;1600;HIERBA
