ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_21-08-2014;FLY BY NIGHT;1;2 años;57;O.O. DE URBINA;SOÑADOR;SALGUERO, J.;6;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_21-08-2014;MR KOTEI (IRE);4;2 años;57;J.CROCQUEVIEILLE;ALTAMIRA;RODRIGUEZ, J.A.;1;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_21-08-2014;SERRANO;5;2 años;57;M.GOMES;SIERRA DE GUADARRAMA;RODRIGUEZ, O.;3;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_21-08-2014;ENTRE DOS TIERRAS;3;2 años;55,5;J.L.MARTINEZ;BLOKE;FERNANDEZ R., J.C.;2;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_21-08-2014;LITCHES;2;2 años;55,5;J.L.BORREGO;ZURRAQUIN;HERNANDEZ, M.;5;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_21-08-2014;RENANIA;6;2 años;55,5;M.SECCI;NANINA;CALLEJO S., T;4;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_21-08-2014;ALCANO;1;3 años;57;J.L.MARTINEZ;NEARCO;LEON, E;4;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
2_21-08-2014;RIBAHUI;3;3 años;57;J.L.BORREGO;CALEJAÑA;FERNANDEZ R., J.C.;3;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
2_21-08-2014;AELITA;4;3 años;55,5;O.O. DE URBINA;L. Y J.A. ALONSO;FERNANDEZ R., J.C.;1;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
2_21-08-2014;KINGKAYE (FR);2;3 años;55,5;J.CROCQUEVIEILLE;HABIT;FERNANDEZ R., J.C.;2;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
2_21-08-2014;LA PEPA;5;3 años;54;M.SECCI;BARREIROS;ROSELL,J.C.;5;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_21-08-2014;CAÑADIO (IRE);5;7 años;69,5;SR CARMENA,M.;HISPANICA;FERNANDEZ R., J.C.;1;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
3_21-08-2014;MAYO;4;4 años;67,5;SR SUELVES,J.J. (63,5);USSIA-FIGUEROA;ARIZKORRETA, G.;3;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
3_21-08-2014;CAMURAY;1;9 años;65,5;SR ESCARIO,J.I.;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;7;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
3_21-08-2014;LOLITA PLUMA (GB);2;4 años;65;SR PINEDA,G.;ALTAMIRA;RODRIGUEZ, J.A.;6;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
3_21-08-2014;CORCUBION;3;9 años;64,5;SR LABORDE,P. (62,5);PEREIRA S.A.T.;CALLEJO S., T;8;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
3_21-08-2014;BIANCA UNO;7;4 años;61;SR CRUZ,G. (62);COMETA;ROSELL, J.C.;4;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
3_21-08-2014;BIZNAGA;6;4 años;61;SR MARTIN A,R.;ADRIANA;RAMA, B.;2;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
3_21-08-2014;TI FARO VEDERE IO (ITY);8;3 años;59,5;SRTA GELABERT,L.;CAPRI;ARIZKORRETA, G.;5;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_21-08-2014;VALENCIA;3;4 años;62;M.A.NARVAEZ (60);LUZERPALHA;FERNANDEZ R., J.C.;3;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;RIVENDEL (IRE);2;3 años;61,5;J.L.MARTINEZ;SAN JOSE;CALLEJO S., T;6;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;KIA ORA (GER);8;4 años;58;J.CROCQUEVIEILLE;ASOC. SAFSAF-LOS TONELES;RODRIGUEZ, F.;8;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;SUPERBONI (FR);1;6 años;58;O.O. DE URBINA;ARTEMIS;LOPEZ, J.;10;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;CALITXO;6;5 años;54;M.GOMES;M & K RACING;RAMA, B.;1;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;KHEOPS (GB);10;4 años;53;M.SECCI;IGUELDO;ROSELL, J.C.;2;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;FIGUEIRAS;5;4 años;52;J.GELABERT (49);PEREIRA S.A.T.;CALLEJO S., T;5;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;GREEN NIGHT (IRE);4;6 años;52;E.ARGUINZONES (52,5);LAS AGUILAS;IVANOVA, E;4;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;OLIVENZA;7;3 años;51,5;N.GARCIA;A'CASIÑA;RODRIGUEZ, J.A.;7;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
4_21-08-2014;THE FIRST ONE;9;4 años;51;SRTA GELABERT,L (49)(B.Roja);LAS AGUILAS;IVANOVA, E;9;Hipódromo LA ZARZUELA;1650;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_21-08-2014;BOHEMIAN RHAPSODY;1;4 años;59;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;1;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
5_21-08-2014;BARAÑAIN;2;5 años;58;E.ARGUINZONES (55);CONQUISTADOR;MARTINS, T;3;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
5_21-08-2014;TAFADHALI;4;6 años;56,5;O.O. DE URBINA;LAJORQUIN;MARTINEZ, J.;2;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
5_21-08-2014;RESACA (GB);5;3 años;56;J.CROCQUEVIEILLE;AFRICA;OSORIO, J.M.;5;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
5_21-08-2014;KUBOKI (FR);3;3 años;53,5;J.GELABERT (49,5);ALISARES;GELABERT, B.;4;Hipódromo LA ZARZUELA;1900;ARENA-FIBRA
