ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_09-07-2011;COMANCHE TRAIL(FR);3;5;60,5;F. LYNCH;ASC. SOÑADOR & SUNSHINE RACI;P. HALEY;8;Hipódromo Costa del Sol.;2100;ARENA
1_09-07-2011;LISSELAN CLANSMAN(IRE);5;6;60,5;R. RAMOS;LISSELAN FARMS;A. R. ACOSTA;7;Hipódromo Costa del Sol.;2100;ARENA
1_09-07-2011;PENDENCIERO(USA);4;4;60,5;J. CROCQUEVIEILLE;LA PAZ;J. A. RODRIGUEZ;5;Hipódromo Costa del Sol.;2100;ARENA
1_09-07-2011;COVELO;6;6;59;V. SANCHEZ (55);PEREIRA S.A.T.;J. C. LOPERA;4;Hipódromo Costa del Sol.;2100;ARENA
1_09-07-2011;MADISON PARK (IRE);2;5;59;B. FAYOS;YANKEE RACING;B. RAMA;1;Hipódromo Costa del Sol.;2100;ARENA
1_09-07-2011;OLINA;7;4;59;J. E. JARCOVSKY;KINGS RACING;B. RAMA;3;Hipódromo Costa del Sol.;2100;ARENA
1_09-07-2011;IOVIA (FR);8;4;57,5;I. LOPEZ;BETICO;M. ALVAREZ;6;Hipódromo Costa del Sol.;2100;ARENA
1_09-07-2011;RIENZI(IRE);1;3;55,5;J. L. BORREGO;EL HERROJO;G. ARIZKORRETA;2;Hipódromo Costa del Sol.;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_09-07-2011;DON ANDRES(GB);2;3;62;J. E. JARCOVSKY;ANTON;B. RAMA;3;Hipódromo Costa del Sol.;1800;ARENA
2_09-07-2011;VINOLETO;1;3;61;V. JANACEK;CRUCEÑA;J. C. MARTINEZ;9;Hipódromo Costa del Sol.;1800;ARENA
2_09-07-2011;FIDO DIDO(FR);5;3;60;J. CROCQUEVIEILLE;SUREÑA;J. A. RODRIGUEZ;1;Hipódromo Costa del Sol.;1800;ARENA
