ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_05-08-2011;VIVANCO (9,000);3;3;58;V.JANACEK;Y. CORTIÑAL;J. M. BORREGO R.;3;Hipódromo Costa del Sol.;1800;ARENA
1_05-08-2011;DIXLESIO (IRE) (7,000);4;3;56,5;O.O.DE URBINA;RIAS BAIXAS;R. LOPEZ;4;Hipódromo Costa del Sol.;1800;ARENA
1_05-08-2011;DON LUIS(FR) (7,000);6;3;56,5;B.FAYOS;SALVADOR MARQUEZ;J. A. RODRIGUEZ;2;Hipódromo Costa del Sol.;1800;ARENA
1_05-08-2011;FLECHE D'ARCIS(FR) (5,000);7;3;55;J.CROCQUEVIEILLE;TALISMAN;J. A. RODRIGUEZ;1;Hipódromo Costa del Sol.;1800;ARENA
1_05-08-2011;BIPOLAR (5,000);5;3;53,5;M.GOMES;LEVANTE;J. C. FERNANDEZ;7;Hipódromo Costa del Sol.;1800;ARENA
1_05-08-2011;PRISCA VIVAZ (IRE) (5,000);1;3;53,5;E.MELIAN (51);POPULAR;G.ARIZCORRETA;6;Hipódromo Costa del Sol.;1800;ARENA
1_05-08-2011;THINK TWICE(IRE)(5,000);2;3;53,5;R.NAYLOR(51);SUNSHINE RACING;P. HALEY;5;Hipódromo Costa del Sol.;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_05-08-2011;NAVARON;6;5;68;SR. MARTIN, R;Y. CORTIÑAL;J. M. BORREGO R.;1;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;FLOW BOY(IRE);3;7;66,5;SR. PINEDA, G (64,5);PADRONESA;J. A. RODRIGUEZ;2;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;HIGH IKER;5;6;65;SR. SOTO, A.;RIAS BAIXAS;R. LOPEZ;9;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;TALISMANIX (FR);8;5;65;SR. DE JULIAN, N (61);TALISMAN;J. A. RODRIGUEZ;4;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;MONTEAGUDO EBRO (IRE);1;3;64,5;SR. ESCARIO , J.I.;SAN CRISTOBAL;J. LOPEZ;6;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;BLAISE TOWER(GB);2;5;63,5;SR. SANTANA, A (61,5);CASTILLO DE CHARETA;B. RAMA;7;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;FLYVELL(FR);4;6;63,5;SR. SARABIA, D (61,5);RIO CUBAS;J. C. FERNANDEZ;5;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;LISSELAN STAR(IRE);9;4;63,5;SR. HERMOSILLA, A (59,5);LISSELAN FARMS;A. R. ACOSTA;3;Hipódromo Costa del Sol.;1800;ARENA
2_05-08-2011;MELODY SOLITAIRE (IRE);7;5;62;SR. ESTEBAN, O (63);COURTNEY;J.L.EYRE;8;Hipódromo Costa del Sol.;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
