;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS;HIPODROMO;DISTANCIA;PISTA
3-10/08/2012;BURNING LIGHT(IRE);2;5;61;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;4;Hipódromo Costa del Sol;2100;ARENA
3-10/08/2012;MEARI(ARG);4;5;58;C. FERNANDEZ (56);MI VIEJITA;J. C. FERNANDEZ;6;Hipódromo Costa del Sol;2100;ARENA
3-10/08/2012;DELIRADA;6;4;58;R.H.HUAYAS;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;8;Hipódromo Costa del Sol;2100;ARENA
3-10/08/2012;BLADE RUNNER;8;3;57;I. LOPEZ;RACHAEL TEASDALE RACING;J. L. EYRE;10;Hipódromo Costa del Sol;2100;ARENA
3-10/08/2012;LUCCIOLE LOL (FR);5;3;56;E. MELIAN (54);CIELO DE MADRID;O. RODRIGUEZ;2;Hipódromo Costa del Sol;2100;ARENA
3-10/08/2012;OLINA;7;5;54;G.CARTER;KINGS RACING;B. RAMA;5;Hipódromo Costa del Sol;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS;HIPODROMO;DISTANCIA;PISTA
4-10/08/2012;LIBRETRASTO;5;4;62;SR. SARABIA, D.;RIO CUBAS;D. SARABIA;3;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;VODKA LEMON(GB);6;4;62;R.H.HUAYAS;MADELAINE;R. H. HUAYAS;9;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;COSIDE(USA);1;4;59;J. GROSJEAN;SAFSAF;M. DELCHER S.;11;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;DELLA BEND(FR);4;4;58;V.JANACEK;JIMENA;B. RAMA;2;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;ILUSIONISTA;2;6;58;I. LOPEZ;ODISEA;B. RAMA;12;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;ALFRED;7;6;56;F. JIMENEZ A.;CIELO DE MADRID;O. RODRIGUEZ;10;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;OLZA (GB);99;5;56;M. SECCI;SCUDERIA TOSCANA;M. AUGUELLI;4;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;NOT SO BRIGHT (USA);9;4;56;F. ALVARADO (57);CASTILLO DE CHARETA;B. RAMA;5;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;EXPATBET(GB);10;3;55;G. CARTER;BETVICTOR;P. HALEY;6;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;LISSELAN GRACE(IRE);8;5;55;S.MARTIN;LISSELAN FARMS;A. R. ACOSTA;1;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;LODOSA;3;4;55;E. MELIAN (53)(B.R);CIELO DE MADRID;O. RODRIGUEZ;8;Hipódromo Costa del Sol;2100;ARENA
4-10/08/2012;LONGUEIRON;99;3;53;N. GARCIA;PEREIRA SAT;J. C. LOPERA;7;Hipódromo Costa del Sol;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;CS;HIPODROMO;DISTANCIA;PISTA
5-10/08/2012;BLACKBERRY BOY(IRE);4;8;60;G. CARTER;SUNSHINE RACING;P. HALEY;2;Hipódromo Costa del Sol;2200;ARENA
5-10/08/2012;KURDO(FR);3;4;60;V. JANACEK;Y. AGF;G. ARIZCORRETA;1;Hipódromo Costa del Sol;2200;ARENA
5-10/08/2012;SEMINOLE CRY(USA);1;7;60;J.L.MARTINEZ;CARRERAS INT.;J. L. EYRE;4;Hipódromo Costa del Sol;2200;ARENA
5-10/08/2012;MENELDOR (IRE);2;4;58,5;J.CROCQUEVIEILLE;GONZALO HERNANDO ABOIN;A. CARRASCO;5;Hipódromo Costa del Sol;2200;ARENA
5-10/08/2012;THE BELONGER(USA);5;5;58,5;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;3;Hipódromo Costa del Sol;2200;ARENA
