;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1-31/12/2011;MENELDOR (IRE) (9.000);3;59;3;J. CROCQUEVIEILLE;GONZALO HERNANDO-ABOIN;A. CARRASCO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
1-31/12/2011;TURRIALBA (7.000);2;58;4;I. LÓPEZ;INSTAGONZA;O. ANAYA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
1-31/12/2011;DIXLESIO (IRE) (7.000);1;57;3;J.L. MARTÍNEZ;RIAS BAIXAS;R. LÓPEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
1-31/12/2011;COMANCHE TRAIL (FR) (5.000);6;56;5;J.E. JARCOVSKY;SOÑADOR;J. SALGUERO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
1-31/12/2011;ESQUIO (5.000);4;56;4;A. GÓMEZ (53);PEREIRA S.A.T.;J. C. LOPERA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
1-31/12/2011;PERSICUS (GB) (5.000);5;56;5;F. JIMÉNEZ;HISPANICA;J. C. FERNÁNDEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;2100;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2-31/12/2011;CHIQUI (IRE);1;57;2;C. FERNANDEZ;SUFLE;J. C. FERNÁNDEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
2-31/12/2011;DANIEL BOONE;6;57;2;F. JIMÉNEZ;YEGUADA CORTIÑAL;J. A. RODRÍGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
2-31/12/2011;PACIFIC TRADER (GB);5;57;2;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
2-31/12/2011;LA NIÑA (IRE);2;55,5;2;J.L. MARTÍNEZ;ROCHE;M. ÁLVAREZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
2-31/12/2011;ORLIKA;8;55,5;2;I. LÓPEZ (56);LAS AGUILAS;G. VILLARTA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
2-31/12/2011;SCARLATTI;3;55,5;2;J.L. BORREGO (B. BLANCA);YEGUADA CORTIÑAL;J. M. BORREGO R;2;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
2-31/12/2011;BYRON BABY (IRE);4;55;2;J.E. JARCOVSKY (56);M & K RACING;B. RAMA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
2-31/12/2011;GASPARIÑO;7;55;2;A. GÓMEZ;LUIS ALBERTO NUÑEZ;J. A. RODRÍGUEZ;3;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;1200;HIERBA
;;;;;;;;;;;
