ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_12-01-2014;WINDSOR BUOY (IRE);2;3;59;B. FAYOS;HEWSUE;HALEY, P.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1_12-01-2014;ESQUILERO (GB);1;3;58;J.L. MARTINEZ;BERING;LEON, E;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1_12-01-2014;HUERTA GRANDE (FR);5;3;57;J.E. JARCOVSKY;CELSO MENDEZ;ALVAREZ, M.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1_12-01-2014;ONIRIO (FR);6;3;57;V. JANACEK;ASOC. SAFSAF-LOS TONELES;RODRIGUEZ, F.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1_12-01-2014;OLIVENZA;3;3;55,5;R. RAMOS;A'CASIÑA;RODRIGUEZ, J.A.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1_12-01-2014;RIVIERA;7;3;55,5;R. SOUSA (53);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
1_12-01-2014;TEQUILA;4;3;55,5;J. CROCQUEVIEILLE;ZURRAQUIN;HERNANDEZ, M.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_12-01-2014;CRACK;2;5;59;R. SOUSA (56);PINEDA;CALDERON, J.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2_12-01-2014;WAD VISON;4;4;59;SR. DE JULIAN, N. (55);RCA;RODRIGUEZ, J.A.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2_12-01-2014;DON FERNANDO HAB;1;6;58;O.O. DE URBINA;VADILLO;CARRASCO, A.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2_12-01-2014;RUBENS;8;9;58;J. GELABERT (54);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2_12-01-2014;ALABAMA;5;6;57,5;V. JANACEK;MARISOL;J.C. FERNANDEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2_12-01-2014;DAGOBERTO;3;4;57;B. FAYOS;NANINA;CALDERON, J.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2_12-01-2014;ROBERTTINO STAR;6;4;57;J. HORCAJADA;MAGAÑA;FERNANDEZ R., J.C.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
2_12-01-2014;ROCK MUSIC;7;4;57;M.A. NARVAEZ (54) (B. BLANCA);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_12-01-2014;DELLA BEND (FR);99;6;62;M.A. NARVAEZ (60);JIMENA;RAMA, B.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;FISCHER;3;5;62;J. HORCAJADA;COMANSI;FERNANDEZ R., J.C.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;CAPITAN DRAKE;8;4;61;A. G. DELGADO (59);MADELEINE;HUAYAS, R.;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;ECO JAR;1;7;61;J.L. MARTINEZ;REZA PAZOOKI;RODRIGUEZ, F.;13;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;CALAMARGO (IRE);2;7;61;M. GOMES (B. AMARILLA);JIMENA;MARTINS, T;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;TONSAF (IRE);10;4;61;O.O. DE URBINA;AMIGA;ALVAREZ, M.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;NEW PARADE;6;4;60;R. SOUSA (58);EL NEGREDO;MARTINS, T;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;BALABINDU;5;4;58;V. JANACEK;C.D.E. LA CIBELES;HERNANDEZ, M.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;LEPIC (FR);4;5;56;B. FAYOS;DI BENISICHI;RODRIGUEZ, F.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;CIUDADANO KANE;9;4;53;A. GUTIERREZ B. (50);Y AHORA QUE;GUTIERREZ, A.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;ESTRELLITA DIBEL;11;5;53;R. RAMOS (55);RANCHO PILAR;RODRIGUEZ, J.A.;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;EUROPAMPLONA;99;5;52;SR. DE JULIAN, N. (54,5) (B. ROJA);RANCHO PILAR;RODRIGUEZ, J.A.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
3_12-01-2014;GAMBERRO;7;6;51;J. GELABERT (48);ZEBRA;RODRIGUEZ, J.A.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_12-01-2014;SEMINOLE CRY (USA);99;9;64;O.O. DE URBINA;CASTILLO DE CHARETA;ALVARADO, F.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;DUBROVNIK;4;4;62;B. FAYOS;YEGUADA LAS CUEVAS;CALDERON, J.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;ARTESA (GB);5;4;61;V. JANACEK;KARIKATO;AUGELLI, M.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;GIGGOLO STAR;8;5;61;J. HORCAJADA;MAGAÑA;FERNANDEZ R., J.C.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
