ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_12-08-2011;COQUETA;1;3;62;E.MELIAN (60);COLISA;J. A. RODRIGUEZ;8;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;CARMENCHU;9;5;62;J.HORCAJADA;JEM;O. RODRIGUEZ;7;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;DELIRADA;3;3;60;M.SALOKANTO;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;10;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;GETXO (IRE);8;4;60;B.FAYOS;JIMENA;B. RAMA;4;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;VRAIZEM;4;3;59;R.H.HUAYAS;TURF LA GARE;R. LOPEZ;1;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;YISHABEIR(FR);6;3;59;V.JANACEK;CIELO DE MADRID;O. RODRIGUEZ;3;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;DROP RISK(FR);2;8;57;I.LOPEZ;LABERINTO;O. ANAYA;2;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;DOVERY;7;5;57;R.NAYLOR (55);COURTNEY;J. L. EYRE;5;Hipódromo Costa del Sol.;2100;ARENA
1_12-08-2011;ESTELA;5;4;53;M.GOMES;MI VIEJITA;F. PEREZ;6;Hipódromo Costa del Sol.;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_12-08-2011;COMPTON PARK (GB);2;4;60;J.L.MARTINEZ;RACHAEL TEASDALE RACING;J.L EYRE;5;Hipódromo Costa del Sol.;1300;ARENA
2_12-08-2011;BAHRAJ (USA);3;4;57,5;I.LOPEZ;B.P. SAN MATEO;O. ANAYA;3;Hipódromo Costa del Sol.;1300;ARENA
2_12-08-2011;STORMY MONTLIOUX(FR);1;4;57;F.ALVARADO;DIAZMOR;P. DIAZ;1;Hipódromo Costa del Sol.;1300;ARENA
2_12-08-2011;LA RUBIA(IRE);4;5;56,5;J.HORCAJADA;CIELO DE MADRID;O. RODRIGUEZ;2;Hipódromo Costa del Sol.;1300;ARENA
2_12-08-2011;BLACK DIBEL (IRE);5;3;56;D.DELGADO;RIISIO S.L.;J.C.MARTINEZ;4;Hipódromo Costa del Sol.;1300;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_12-08-2011;BLADE RUNNER;6;2;57;R.NAYLOR;RACHAEL TEASDALE RACING;J. L. EYRE;6;Hipódromo Costa del Sol.;1200;ARENA
3_12-08-2011;DESEADO;2;2;57;J.CROCQUEVIEILLE;SUREÑA;J. A. RODRIGUEZ;12;Hipódromo Costa del Sol.;1200;ARENA
3_12-08-2011;GNOMO;5;2;57;O.O.DE URBINA;JIMENA;A. SANCHEZ C.;7;Hipódromo Costa del Sol.;1200;ARENA
3_12-08-2011;MONDOÑEDO;8;2;57;I.LOPEZ;PEREIRA SAT;J. C. LOPERA;9;Hipódromo Costa del Sol.;1200;ARENA
3_12-08-2011;PACHA;99;2;55,5;V.JANACEK;SOÑADOR;J. C. LOPERA;4;Hipódromo Costa del Sol.;1200;ARENA
3_12-08-2011;PEPONINA HAB;4;2;55,5;R. H. HUAYAS;GONZALO HERNANDO ABOIN;A. CARRASCO;5;Hipódromo Costa del Sol.;1200;ARENA
