ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
1_30-06-2012;SANTUZZO;2;2;57;V. JANACEK;CELANOVA;J. A. RODRIGUEZ;2;Hipódromo Costa del Sol.;1200;ARENA
1_30-06-2012;FOR ALBERT;6;2;55;R. H. HUAYAS;TINERFE;J. CALDERON;5;Hipódromo Costa del Sol.;1200;ARENA
1_30-06-2012;SIR PEPO;1;2;55;A. GOMEZ;SOÑADOR;J. SALGUERO;4;Hipódromo Costa del Sol.;1200;ARENA
1_30-06-2012;WAD VISION;4;2;55;E. MELIAN;PADRONESA;J. A. RODRIGUEZ;3;Hipódromo Costa del Sol.;1200;ARENA
1_30-06-2012;CAPRI;3;2;53,5;I. LOPEZ (56);GRUPORAMA;B. RAMA;1;Hipódromo Costa del Sol.;1200;ARENA
1_30-06-2012;PETITE VISION;4;2;53,5;S. MARTIN (55);LA SUECA;J. C. LOPERA;6;Hipódromo Costa del Sol.;1200;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_30-06-2012;ILLIZMIT (FR);3;7;64;B. FAYOS;LA SUECA;J. C. LOPERA;2;Hipódromo Costa del Sol.;2100;ARENA
2_30-06-2012;BLANCA DE NAVARRA;1;5;63;V. JANACEK;ALDARA;G. ARIZCORRETA;5;Hipódromo Costa del Sol.;2100;ARENA
2_30-06-2012;EXPATBET(GB);2;3;60,5;G. CARTER;BETVICTOR;P. HALEY;1;Hipódromo Costa del Sol.;2100;ARENA
2_30-06-2012;TRESENPUNTO;99;4;60;J. L. BORREGO;DONALFA;M. J. PEREZ;4;Hipódromo Costa del Sol.;2100;ARENA
2_30-06-2012;DELIRADA;6;4;58;J. M. SANCHEZ C, (56);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;8;Hipódromo Costa del Sol.;2100;ARENA
2_30-06-2012;MUNRO'S DRAGON(GB);4;4;56;R. H. HUAYAS;TINERFE;J. CALDERON;3;Hipódromo Costa del Sol.;2100;ARENA
2_30-06-2012;OLINA;5;5;56;I. LOPEZ;KINGS RACING;B. RAMA;6;Hipódromo Costa del Sol.;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_30-06-2012;LA NIÑA(IRE);7;3;62;SR. SOTO, A. (60);ROCHE;M. ALVAREZ;3;Hipódromo Costa del Sol.;1400;ARENA
3_30-06-2012;LISSELAN NYMPH(USA);3;4;62;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;1;Hipódromo Costa del Sol.;1400;ARENA
3_30-06-2012;CANELA FINA;4;3;60;A. GOMEZ;SOÑADOR;J. SALGUERO;5;Hipódromo Costa del Sol.;1400;ARENA
3_30-06-2012;CHIEF KEY (GB);1;4;60;V. JANACEK;CANTER;M. AUGELLI;7;Hipódromo Costa del Sol.;1400;ARENA
3_30-06-2012;EL LOLO(IRE);5;6;60;I. LOPEZ;EL LOBO;O. ANAYA;4;Hipódromo Costa del Sol.;1400;ARENA
3_30-06-2012;BLADE RUNNER;6;3;58;M. GOMES;RACHAEL TEASDALE RACING;J. L. EYRE;9;Hipódromo Costa del Sol.;1400;ARENA
3_30-06-2012;NAZARENO HEN(IRE);2;4;56;J. E. JARCOVSKY;DUO;J. SALGUERO;6;Hipódromo Costa del Sol.;1400;ARENA
3_30-06-2012;FEU INDIEN(GB);8;11;50;J. M. SANCHEZ C. (49);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;2;Hipódromo Costa del Sol.;1400;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4_30-06-2012;LAAZEM(IRE);5;5;63;SR. BENITEZ, D. (61);HNOS. GARCIA Y VEGA;O. ANAYA;5;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;CORCUBION;1;7;62;B. FAYOS;PEREIRA S.A.T.;J. C. LOPERA;8;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;BAHRAJ (USA);3;5;58;I. LOPEZ;TRES MALAGUEÑAS;O. ANAYA;4;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;FABIELLO (GB);7;4;56;V. JANACEK;MARTEL SANCHEZ;O. ANAYA;12;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;ALHAPRINCE(IRE);2;8;55;J. E. JARCOVSKY(56);LABERINTO;R. AON;1;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;PADRON;10;4;55;S. MARTIN (B.R.);PEREIRA S.A.T.;J. C. LOPERA;3;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;VICTOR'S BET;8;3;53;G. CARTER;BETVICTOR;P. HALEY;11;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;EAGLE CANYON(IRE);4;4;53;R. H. HUAYAS;TINERFE;J. CALDERON;2;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;JUAN DANIEL;11;3;52;A. GOMEZ;JEREZANA;J. CALDERON;9;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;AROUSA;9;5;52;M. GOMES (B. AM.);PEREIRA S.A.T.;J. C. LOPERA;10;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;JUNGLE(GB);6;3;50;J. M. SANCHEZ C.(49)(B.B.);LABERINTO;R. AON;7;Hipódromo Costa del Sol.;1400;ARENA
4_30-06-2012;BOMBAY CANALLA;99;4;50;M. SECCI (51);MG RACING;M. J. PEREZ;6;Hipódromo Costa del Sol.;1400;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5_30-06-2012;BLACKBERRY BOY(IRE);6;8;60,5;G. CARTER;SUNSHINE RACING;P. HALEY;3;Hipódromo Costa del Sol.;2100;ARENA
5_30-06-2012;KURDO(FR);5;4;60,5;V. JANACEK;Y. AGF;G. ARIZCORRETA;4;Hipódromo Costa del Sol.;2100;ARENA
5_30-06-2012;RAAMI(GB);2;5;60,5;SR. SARABIA, D.;RIO CUBAS;O. ANAYA;6;Hipódromo Costa del Sol.;2100;ARENA
5_30-06-2012;WHISTLEINTHEWIND (IRE);3;5;60,5;B. FAYOS;NANINA;J. CALDERON;5;Hipódromo Costa del Sol.;2100;ARENA
5_30-06-2012;DON JEUMONT(POR);6;4;59;A. GOMEZ;MILD WEST;J. CALDERON;2;Hipódromo Costa del Sol.;2100;ARENA
5_30-06-2012;SEMINOLE CRY(USA);1;7;59;J. L. MARTINEZ;CARRERAS INT.;J. L. EYRE;7;Hipódromo Costa del Sol.;2100;ARENA
5_30-06-2012;MAKALALI(IRE);4;3;55;I. LOPEZ (56);MARTEL SANCHEZ;O. ANAYA;1;Hipódromo Costa del Sol.;2100;ARENA
