23/10/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;1600 metros;HIERBA;;;;;
12;BARATHEA BAY (IRE);7;3 años;54;J.M.SANCHEZ C (52);TIZIANO;DELCHER S., M.;10
;;;;;;;;
5ª CARRERA;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CELTIC ROCK (GB);5;2 años;57;J.CROCQUEVIEILLE;HABIT;FERNANDEZ R., J.C.;1
2;GRAN CHIPI (FR);4;2 años;57;J.L.BORREGO;POPULAR;ARIZKORRETA, G.;7
3;MATUSALEN;1;2 años;57;J.HORCAJADA;ALLER;DELCHER S., M.;4
4;NUREDYN (FR);2;2 años;57;O.O. DE URBINA;ZURRAQUIN;HERNANDEZ, M.;2
5;OTRO GINTONIC (GB);6;2 años;57;V.JANACEK;EL FACTOR SORPRESA;ARIZKORRETA, G.;6
6;PLENIPOTENCIARIO (IRE);3;2 años;57;R.MOORE;ASOC. USSIA-HINOJOSA;SALAS, J.L. DE;5
7;SAPHIRSIDE (IRE);7;2 años;57;J.GROSJEAN;SAFSAF;DELCHER S., M.;3
;;;;;;;;
6ª CARRERA;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ARATAN (IRE);3;4 años;61;J.CROCQUEVIEILLE;ODISEA;GOMEZ, I.;1
2;SECRETSIDE (IRE);4;3 años;60,5;J.GROSJEAN;SAFSAF;RODRIGUEZ, F.;4
3;WHOSWITHYA (IRE);2;5 años;60;J.L.MARTINEZ;JOSE LUIS PEREZ-TOLEDO;PEREZ T., J.L;5
4;LA LLANURA (CAN);1;3 años;59,5;J.HORCAJADA;TIZIANO;DELCHER S., M.;7
5;FAIRLY DANCER (FR);5;4 años;55;F.JIMENEZ;SAN JULIO;MAROTO, J.L.;2
6;REVOLAINA (USA);6;4 años;55;J.L.BORREGO;YEGUADA URDIÑ-ORIYA;PEREZ, F.;6
7;EL AFRICANO;7;4 años;53;M.SECCI;LAS AGUILAS;VILLARTA, G.;3
;;;;;;;;
7ª CARRERA;;1600 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;REFUSE (IRE);99;4 años;60;SR.GREDILLA,P.;ALISARES;SANCHEZ C., A.;8
2;AS DE THOMAS (GB);1;5 años;58,5;SR.PINEDA,G.;CUATRO JOTAS;RECIO, B.;4
3;CALBLANQUE (IRE);6;4 años;58,5;SRTA.GONZALEZ,R (56,5);HABIT;FERNANDEZ R., J.C.;1
4;HIGH IKER;5;6 años;58,5;SR.SANTANA,A. (56,5);RIAS BAIXAS;LOPEZ, R.;2
5;INDIAN BLUE (IRE);3;7 años;58,5;SR.DE JULIAN,N (54,5);YEGUADA MARQUES;PUENTE, E.;7
6;ENFIA;7;4 años;57;SR.ESCARIO,J.I.;ODISEA;GOMEZ, I.;6
7;ERCOLINI (IRE);2;4 años;57;SRTA.ZAPICO,S.;REZA PAZOOKI;RODRIGUEZ, F.;5
8;OTTAWA;4;4 años;57;SRTA.GELABERT,L;YEGUADA CORTIÑAL;RECIO, B.;3
