1;RAYO NEGRO(IRE);5;4;60;J.C.CERQUEIRA;C.SAN CRISTOBAL;J.LOPEZ;3;3,9,4,1,1
2;ARATAN(IRE);4;4;58;J.CROCQUEVIEILLE;C.ODISEA;I.GOMEZ;7;1,3,3,1,5
3;GOLFO PERSICO(IRE);2;3;57;O.O.DE URBINA;C.LOS TONELES-PAZOOKI;F.RODRIGUEZ;2;1,2,2,6,7
4;LINCE(GB);8;4;57;M.BORREGO;C.LOS TONELES;F.RODRIGUEZ;6;7,5,2,2,3
5;MEDESIDE(IRE);6;5;57;B.FAYOS;C.IGUELDO;J.C.ROSELL;4;3,2,2,1,0
6;TIRION(USA);1;3;57;J.HORCAJADA;C.MIRANDA SL;M.DELCHER S;1;1,1,0,2,4
7;S GRILLO(GB);3;3;56;V.JANACEK;C.USSIA-FIGUEROA;G.ARIZKORRETA;8;1,4,1,0,7
8;ERCOLINI(IRE);7;4;55,5;J.GROSJEAN;REZA PAZOOKI;F.RODRIGUEZ;5;4,5,0,7,8
;;;;;;;;;
4ª Carrera;;2200 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JIINETE;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;PERSICUS(GB);7;5;62;S.BERMEJO (60);C.HISPANICA;F.RODRIGUEZ;11;4,7,4,6,4
2;YALLAYAN(FR);3;4;60;J.CROCQUEVIEILLE;C.RIO CUBAS SL;J.C.FERNANDEZ;6;4,4,1,2,8
3;LIBRETRASTO;5;3;59;G.MADERO;C.CARDIE;A.IMAZ C;4;4,2,5,4,4
4;SLICK KNIGHT(GB);8;4;59;J.C.CERQUEIRA;C.MARTUL;A.IMAZ B;7;0,3,8,0,1
5;BARATHEA BAY(IRE);6;3;58;J.HORCAJADA;C.TIZIANO;M.DELCHER S;5;7,2,2,3,6
6;BARROCCO;1;5;58;B.FAYOS;C.LLAS;J.LOP.VALVERDE;3;6,7,6,6,0
7;RIVALLERO(GER);99;7;57;V.JANACEK;C.EL SABLE;E.PUENTE;2;3,0,2,3,8
8;CALDERETA;11;3;56;M.BORREGO;C.DONDE VAMOS;J.P.AVIAL;8;7,0,1,0,0
9;ZIZURKIL(GB);2;4;56;J.GROSJEAN;C.MULTI;R.AVIAL;1;3,2,8,5,5
10;EKKAIA(IRE);4;3;55;S.MARTIN;C.MIRANDA SL;M.DELCHER S;10;3,3,2,7,9
11;KLARA;9;5;54;J.JIMENEZ (52);C.JIMENEZ;J.JIMENEZ;12;3,0,5,0,1
12;CAPITAL;10;4;54;A.GOMEZ;C.BOBBY;I.GOMEZ;9;0,4,0,7,4
;;;;;;;;;
5ª Carrera;;1600 metros;HIERBA;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;AS DE TREBOL(USA);3;5;58;B.FAYOS;C.CHICAGO;M.DELCHER S;8;1,6,1,4,7
2;BOTTEGA(USA);5;4;58;J.HORCAJADA;C.MADROÑOS;M.DELCHER S;2;3,9,1,4,1
3;FLYING BLUE(FR);6;6;58;J.L.BORREGO;Y.URDIN-ORIYA;F.PEREZ;3;5,1,1,4,2
4;SALPADO(FR);8;5;58;J.CROCQUEVIEILLE;C.EHUN;R.MARTIN S;7;3,2,7,4,2
5;SHUMOOKH(IRE);4;8;58;J.C.CERQUEIRA;C.DH LOS ASPIRANTES;T.CALLEJO;4;2,3,1,2,0
6;BELLASIDE(IRE);2;4;56,5;J.L.MARTINEZ;GR.BOLAÑOS GR.CANARIA;E.LEON;6;6,3,1,7,3
7;DON FERNANDO HAB;7;3;55,5;J.E.JARCOVSKY;C.VADILLO;A.CARRASCO;1;3,1,1,1,2
8;VOLCANICO(IRE);1;3;55,5;J.GROSJEAN;C.LOS TONELES;F.RODRIGUEZ;5;2,1,3,5,1
