22/04/2011;;;;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;;;;
10;;EUROBETIS;;5;51;;;J. M. SANCHEZ C. (48);LA GOYA;E. GALLARDO;5
11;;MISTER DRAGO(IRE);;6;50;;;R. H. HUAYAS (52,5);ALBA Y LUCIA;J. C. MARTINEZ;4
12;;DOVERY;;5;50;;;R. NAYLOR (51)(B.V);COURTNEY;J. L. EYRE;1
;5ª Carrera;GRAN PREMIO;;;;;;LOTERIAS Y APUESTAS DEL ESTADO (CAT C) 17.000 € a repartir.- 1.200 mts. Hora: 13,40;;;
Nº;;CABALLO;;EDAD;KG;;;JINETE;CUADRA;ENTRENADOR;C.S.
1;;ARIETE ARROLLADOR(GB);-4;4;59;;;J. L. BORREGO;ALBERO;G. ARIZKORRETA;8
2;;BOMBADIL(IRE);;4;59;;;B. FAYOS;JEREZANA;J.CALDERON;1
3;;BORKEN(FR);;6;59;;;J. E. JARCOVSKY;NANINA;J. CALDERON;7
4;;CAMURAY;;6;59;;;V. JANACEK;Y. CORTIÑAL;E. LEON;6
5;;COMPTON PARK (GB);;4;59;;;J. L. MARTINEZ;RACHAEL TEASDALE RACING;J. L EYRE;10
6;;NEWBY(GB);-5;6;59;;;D. DELGADO;ADRIANA;B. RAMA;3
7;;STORMY MONTLIOUX(FR);-3;4;59;;;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;4
8;;BAHRAJ(USA);;4;57,5;;;I. LOPEZ;B. P. SAN MATEO;O. ANAYA;5
9;;BARKING (IRE);;3;54;;;J. HORCAJADA(54,5)(B.BL);B. P. SAN MATEO;O. ANAYA;9
10;;SALTERGATE(GB);-3;3;54;;;J. CROCQUEVIEILLE(54,5);INSTAGONZA;O. ANAYA;2
