07/08/2011;;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;;
;;;;;;;;;
1;CASACA(GB);1;5;58,5;J.CROCQUEVIEILLE;C.AFRICA;J.M.OSORIO;8;1,5,1,5,7
2;LISSELAN BEAUTY(USA);8;5;58,5;V.JANACEK;LISSELAN FARMS;A.R.ACOSTA;3;4,1,5,1,0
3;MONYAAR(IRE);99;4;58,5;M.SECCI;C.USSIA-FIGUEROA;G.ARIZKORRETA;10;5,2,0,6,3
4;NARYA(IRE);3;4;58,5;J.HORCAJADA;C.MIRANDA SL;M.DELCHER S;4;3,9,1,9,1
5;SPAIN BLUES(FR);9;5;58,5;R.C.MONTENEGRO;C.ARDAL;X.THOMAS;11;1,0,8,2,6
6;TASHA LINDA(IRE);5;4;58,5;J.C.CERQUEIRA;C.PAGANINI;T.CALLEJO;1;9,6,5,2,1
7;VIVEMENT DIMANCHE(GB);6;6;58,5;D.MORISSON;CELSO MENDEZ;C.DELCHER;6;1,4,7,5,4
8;AZAMOR;4;3;54;J.B.HAMEL;C.EL HERROJO;G.ARIZKORRETA;5;5,2,3,6,3
9;CLUNIA(IRE);2;3;54;B.FAYOS (55);C.BRAZACORTA;G.VILLARTA;2;4,1,0,4,3
10;MANIVELA;99;3;54;O.O.DE URBINA (54,5);C.FANTASIA;T.CALLEJO;7;6,7,1,1,2
11;TAFADHALI;7;3;54;J.GROSJEAN;C.LAJORQUIN;J.LOPEZ;9;6,2,5,1
