15/08/2011;;;;;;;;;;
HIPODROMO DE SAN SEBASTIAN;;;;;;;;;;
;;;;;;;;;;
1ª Carrera;;1400 metros;HIERBA;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;DOMESIDE(GB);7;5;59;J.GROSJEAN;;C.SAFSAF;M.DELCHER S;10;4,6,1,1,4
2;JO ALL THE WAY(GB);1;4;59;P.SOGORB;;G.AUGUSTIN NORMAND;E.LELLOUCHE;7;2,3,3,3,1
3;KARLUV MOST(FR);9;5;59;O.O.DE URBINA;;C.CHOLAICA;J.L.MAROTO;5;2,2,2,7,0
4;PAZIFIKSTURM(GER);10;4;59;F.VERON;;C.MARTUL;A.IMAZ C;2;6,7,7,1,1
5;PLANTAGENET;8;4;59;J.L.MARTINEZ;;C.WHYLAR;G.ARIZKORRETA;9;5,3,2,5,7
6;SEÑOR MIRANDA(GB);5;4;59;R.C.MONTENEGRO;;C.LOS TONELES;F.RODRIGUEZ;3;1,4,3,3,9
7;YOUNG TIGER(FR);4;10;59;F.X.BERTRAS;;JAVIER GISPERT;F.ROHAUT;4;1,1,1,2,3
8;ABDEL(FR);2;3;54;J.CROCQUEVIEILLE;;DQ.ALBURQUERQUE;J.M.OSORIO;8;1,3,1,1,8
9;DUNNBOINEE(IRE);6;3;54;J.B.HAMEL (B.roja);;C.MARTUL;A.IMAZ C;1;3,4,1,4,4
10;FESTEIRO;3;3;54;J.HORCAJADA;;C.EL NEGREDO;M.DELCHER P;6;5,1,1,3,3
