07/07/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;1200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ALFACAR;3;2 años;57;J.C.CERQUEIRA;EL FARGUE;DELCHER P., M.;5
2;GALEGO;2;2 años;57;O.O. DE URBINA;YEGUADA GONZALEZ CARO;LOPEZ, R.;1
3;GUMBO (GB);6;2 años;57;B.FAYOS;LEVANTE;I.VAQUERO;2
4;LUCCIOLE LOL (FR);5;2 años;57;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;6
5;MATUSALEN;1;2 años;57;J.HORCAJADA;ALLER;DELCHER S., M.;3
6;SCARLATTI;4;2 años;57;V.JANACEK;YEGUADA CORTIÑAL;BORREGO R , J. M.;4
;;;;;;;;
2ª CARRERA;;1200 metrso;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;SEASIDE (FR);6;3 años;62;J.L.BORREGO;SAN MARCOS;PEREZ, F.;6
2;BLUE SKY;7;3 años;61;B.FAYOS;LAS AGUILAS;VILLARTA, G.;2
3;VENGADOR;5;4 años;60,5;T.TRABUCO (58,5);MARTIN;SANCHEZ, A.F.;3
4;SOL Y LUZ (IRE);3;3 años;58;E.MELIAN (56);EL FARGUE;PEREZ, M.J.;5
5;ENXEBRE;2;4 años;56,5;M.GOMES;CELSO MENDEZ;MARTIN V., R.;7
6;NON PLUS ULTRA (FR);1;4 años;55,5;J.HORCAJADA;CIELO DE MADRID;RODRIGUEZ, O.;4
7;DANCING LAD;4;4 años;50;S.BERMEJO (B.Roja);LAS AGUILAS;VILLARTA, G.;1
;;;;;;;;
3ª CARRERA;;1900 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CUDON (IRE);4;3 años;59;V.JANACEK;RONCESVALLES;AUGELLI, M.;5
2;CHITON;7;3 años;58;J.CROCQUEVIEILLE;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;2
3;SARAHZEM;3;3 años;55;J.HORCAJADA;CIELO DE MADRID;RODRIGUEZ, O.;1
4;DON LUIS (FR);1;3 años;54;B.FAYOS (55);SALVADOR MARQUEZ;RODRIGUEZ, J.A.;6
5;SACRAMENTO;2;3 años;54;SRTA.GELABERT,L (51)(B.Blanca);YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;8
6;BROWN BUTTER (IRE);8;3 años;51;M.SECCI;LAS AGUILAS;VILLARTA, G.;4
7;OJO DE HALCON (IRE);6;3 años;50;S.BERMEJO (B.Roja);LAS AGUILAS;VILLARTA, G.;3
8;ULZARA (IRE);5;3 años;50;A.GOMEZ (51);LEZO;BORREGO, J.A.;7
;;;;;;;;
4ª CARRERA;;1200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;FLYING FLUTE (GB);3;6 años;67;R.H.HUAYAS;DOS HERMANOS;GUTIERREZ,A.;1
2;MEDESIDE (IRE);2;5 años;62;E.MELIAN (60);IGUELDO;ROSELL, J.C.;4
3;COLORIN (IRE);9;4 años;60;C.FERNANDEZ (58);RIO CUBAS;FERNANDEZ R., J.C.;2
4;MAGIC VICTORY (GB);4;6 años;60;J.C.CERQUEIRA;SILVER;AUGELLI, M.;11
5;DOÑA PEPITA (IRE);1;5 años;58;O.O. DE URBINA;ARTEMIS;LOPEZ, J.;12
6;DOM JULIAN (IRE);10;5 años;57;J.HORCAJADA;CIELO DE MADRID;RODRIGUEZ, O.;5
7;MAGNUM;6;3 años;54,5;J.CROCQUEVIEILLE;YEGUADA CORTIÑAL;RODRIGUEZ, J.A.;7
8;MYLORD;8;3 años;54,5;V.JANACEK;GAMMEL;LEON, E;3
9;CHIEF KEY (GB);7;3 años;53,5;V.SANCHEZ (50,5);CANTER;AUGELLI, M.;9
10;PADRON;99;3 años;53,5;J.GROSJEAN;PEREIRA S.A.T.;LOPERA, J.C.;8
11;EL SANTO (IRE);5;4 años;52;M.GOMES;CHAMBERI;ROSELL, J.C.;10
12;SANDOVAL (GB);11;5 años;52;A.GOMEZ;LEZO;BORREGO, J.A.;6
;;;;;;;;
5ª CARRERA;;2300 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;ORLOV;2;5 años;59;J.C.CERQUEIRA;AGRADO;CALLEJO S., T;10
2;ILUSIONISTA;1;5 años;58;A.GOMEZ;ODISEA;GOMEZ, I.;2
3;ERIKO;3;4 años;57;E.MELIAN (54);INSTAGONZA;PEREZ, F.;7
4;MONSAGRO;8;4 años;57;V.JANACEK;EL HERROJO;ARIZKORRETA, G.;9
5;PEÑALEN (GB);5;5 años;57;J.CROCQUEVIEILLE;VIGURIA;OSORIO, J.M.;4
6;ROLANDINO (FR);7;5 años;57;J.L.BORREGO;YEGUADA URDIÑ-ORIYA;PEREZ, F.;6
7;SPECIAL GALILEO (IRE);10;5 años;57;B.FAYOS;ALISARES;SANCHEZ C., A.;8
8;TRUMOI;9;6 años;57;T.TRABUCO (55);MARTIN;SANCHEZ, A.F.;1
9;OLZA (GB);4;4 años;56,5;M.SECCI;SCUDERIA TOSCANA;AUGELLI, M.;5
10;KALINEA (GER);6;4 años;55,5;SRTA.GELABERT,L (51,5);TALISMAN;RODRIGUEZ, J.A.;3
