24/12/2011;;;;;;;;
Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes;;;;;;;;
;;;;;;;;
1ª Carrera;;1600 metros;HIERBA;;;;;
7;LISSELAN RIGHTCALL (USA);5;56;7;S. MARTÍN;LISSELAN FARMS;A. R. ACOSTA;4
8;EL AFRICANO;3;55;3;R. RAMOS (56);LAS AGUILAS;G. VILLARTA;2
9;SALTERGATE (GB);9;55;3;J.M. SANCHEZ CUEVAS (53);INSTAGONZA;O. ANAYA;10
10;VENTURA;11;53;3;E. MELIÁN (52);DOMI;O. RODRÍGUEZ;3
11;ARIZA;2;53;4;A. GÓMEZ (51,5);LUZERPALHA;T. MARTINS;9
12;BOREAS;7;53;4;C. CAZALIS;CELSO MENDEZ;M. ÁLVAREZ;8
;;;;;;;;
5ª Carrera;;2200 metros;HIERBA;;;;;
;CABALLO;POSICION;PESOS;EDAD;;CUADRA;PREPARADOR;CAJÓN
1;VOLAPIE;1;59,5;4;R. HUAYAS;ROMANA ALTA;M. J. PEREZ;6
2;KURUCHET (ARG);5;58,5;4;V. JANACEK;SAN ACACIO;J. CALDERÓN;3
3;CABO CAÑAVERAL (FR);99;57,5;6;J. CROCQUEVIEILLE;SALVADOR MÁRQUEZ;J. LÓPEZ;2
4;JIMMY FALABELLA (IRE);3;57,5;6;J.C. CERQUEIRA;C.D.H. LOS ASPIRANTES 2 TUMBOS;T. CALLEJO;1
5;KARLUV MOST (FR);2;56,5;5;O.O. URBINA;CHOLAICA;J. L. MAROTO;5
6;LISSELAN GRACE (IRE);4;55;4;S. MARTÍN;LISSELAN FARMS;A. R. ACOSTA;4
;;;;;;;;
