 16-07-2011;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª Carrera;;1800 metros;ARENA;;;;;
9;SHAHBANOU(GB);5;4;54,5;B. FAYOS(55);YANKEE RACING;B. RAMA;4
10;MORANTE;8;3;54;E. MELIAN (52);CELANOVA;J. A. RODRIGUEZ;11
11;NORTH EAST CORNER(USA);9;5;53,5;P. L. ROQUE;CASTILLO DE CHARETA;B. RAMA;8
12;BATILIA;12;3;53;R. NAYLOR (51);DUO;J. SALGUERO;3
13;NAZARENO HEN(IRE);2;3;53;M. GOMES (B.B.);DUO;J. SALGUERO;2
14;EL LOLO(IRE);6;5;51,5;SRTA. ZAPICO, S. (52,5);EL LOBO;O. ANAYA;5
;;;;;;;;
4ª Carrera;;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;BARKING (IRE);;3;63,5;SR. BENITEZ, D. (61,5);B.P. SAN MATEO;O. ANAYA;2
2;BOMBADIL(IRE);;4;62;V. JANACEK;JEREZANA;J. CALDERON;12
3;ALTERNATIVE(GB);;7;60;O. ORTIZ DE URBINA;SANLUQUEÑA;J. CALDERON;7
4;BORKEN(FR);;6;60;J. E. JARCOVSKY;NANINA;J. CALDERON;5
5;STORMY MONTLIOUX(FR);;4;60;F. ALVARADO;DIAZMOR;P. DIAZ;8
6;BLACK DIBEL (GB);;3;59,5;M. S. SALOKANTO;RIISIO S.L;J. C. MARTINEZ;11
7;BOREAS;;4;59;J. CROCQUEVIEILLE;DQ DE ALBURQUERQUE;J. M OSORIO;1
8;PERFECTAMENTE(GB);;5;58;M. GOMES;CELSO MENDEZ;E. OLGADO;3
9;SALTERGATE(GB);;3;57,5;I. LOPEZ;INSTAGONZA;O. ANAYA;4
10;HEART IN MOTION (IRE);;3;56,5;B. FAYOS;MARTEL SANCHEZ;B. RAMA;9
11;MARACAIBO (FR);;3;56,5;J. GROSJEAN;SALVADOR ELIZONDO TEKNICA;J. A. RODRIGUEZ;10
12;NOVA GLITTER(IRE);;3;55,5;V. SANCHEZ(53,5);LUZERPALHA;T. MARTINS;6
;;;;;;;;
5ª Carrera;;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;BALATA (GB)(8000);;6;65;SRTA. ZAPICO, S.;MAZANTINNI;A.CARRASCO;5
2;SANDULCES(8.000);;4;65;SR. SOTO, A.;CELSO MENDEZ;M. ALVAREZ;2
3;COMANCHE TRAIL(FR)(5.000);;5;63,5;SR. ESCARIO, J. I.;ASC. SOÑADOR & SUNSHINE RACIN;P. HALEY;1
4;ESQUIMO GREEN (FR)(5000);;5;63,5;SR. MARTIN, A., R.;BOADILLA DEL MONTE;B. RAMA;8
5;FLOW BOY(IRE)(5.000);;7;63,5;SR. PINEDA, G.;PADRONESA;J. A. RODRIGUEZ;7
6;NAVARON (5,000);;5;63,5;SR. GREDILLA, P.;Y. CORTIÑAL;J. M. BORREGO R.;6
7;TURRIALBA (5000);;4;63,5;SR. BENITEZ, D.;INSTAGONZA;O. ANAYA;4
8;GOLDSIDE(5.000);;3;59;SRTA. LOPEZ, D.;SAFSAF;M. DELCHER S.;3
