25/09/2011;;;;;;;;
Hipódromo LA ZARZUELA;;;;;;;;
;;;;;;;;
8;UN MONDE;4;3 años;59;J.CROCQUEVIEILLE;ALISARES;SANCHEZ C., A.;10
9;DAVAY (USA);9;3 años;58;D.DELGADO;LUIS ALBERTO NUÑEZ;RODRIGUEZ, J.A.;6
10;ALABAMA;5;3 años;57;J.HORCAJADA;MADROÑOS;MARTIN V., R.;9
11;BEROA (GB);7;3 años;57;M.BORREGO;MATIAS BORREGO;BORREGO, M.;11
12;MARACAIBO (FR);11;3 años;55;E.MELIAN (53);SALVADOR ELIZONDO TEKNICA;RODRIGUEZ, J.A.;5
;;;;;;;;
5ª CARRERA;;1400 metros;HIERBA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN
1;CATTIVA (FR);7;2 años;57;V.JANACEK;DI BENISICHI;VALENTI, B.;7
2;GALAXY;3;2 años;57;D.DELGADO;SAN JOSE;RODRIGUEZ, J.A.;1
3;IRISH CLIFF (IRE);1;2 años;57;J.HORCAJADA;CHICAGO;DELCHER S., M.;2
4;LAURA MOON (IRE);2;2 años;57;J.CROCQUEVIEILLE;MANOLA;SANCHEZ C., A.;6
5;LUCCIOLE LOL (FR);6;2 años;57;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;3
6;PRECIOUS ROSE (USA);5;2 años;57;J.L.MARTINEZ;BLOKE;RODRIGUEZ, J.A.;5
7;SHE RULES (FR);4;2 años;57;J.GROSJEAN;ZURRAQUIN;HERNANDEZ, M.;4
