20/11/2011;;;;;;;;
Gran Hipódromo de Andalucía Javier Piñar Hafner;;;;;;;;
;;;;;;;;
1ª Carrera;;1000 metros;HIERBA;;;;;
1;KAYSERI;2;58;4;J.L. BORREGO;AREVACOS;A. CARRASCO;5
2;MONSAGRO;6;58;4;J.E. JARCOVSKY;LA GITANA;J. HIDALGO;1
3;TURRIALBA;5;58;4;I. LOPEZ;INSTAGONZA;O. ANAYA;8
4;VOLAPIE;1;58;4;R.H. HUAYAS;ROMANA ALTA;M.J PÉREZ;11
5;DIAMANT DU SOLEIL;4;57;3;J. CROCQUEVIEILLE;CIELO DE MADRID;O. RODRÍGUEZ;7
6;FEITIZO;7;57;3;J. GROSJEAN;REZA PAZOOKI;F. RODRÍGUEZ;10
7;KURDO;3;57;3;V. JANACEK;AGF;G. ARIZCORRETA;3
8;MONTEAGUDO EBRO;10;57;3;O. O. URBINA;NANINA;J. CALDERÓN;6
9;TAGOMAGO;9;57;3;A. GÓMEZ;IBIZA;G. ARIZCORRETA;9
10;PICHUCA;11;55,5;3;J.C. CERQUEIRA (56,5) (B. BLANCA);ROMANA ALTA;M.J. PÉREZ;2
11;TAFADHALI;8;55,5;3;F. JIMÉNEZ;LAJORQUIN;J. LÓPEZ;4
;;;;;;;;
