Column1;Column2;[image];Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Hipódromo de Manacor 04-12-2020;Column16;Column17
Instalaciones Andres Vich;11;HABANA CROWN;D4;A. VALLS;M. Vich C.;;2050 Ec3;From Above (us)-Amura Crown;582;;1.20.1;1224;D-5-5-4-4-3;22.11.20-D-SP-2200-A-0-G. RIERA;;
Cuadra Es Sementeret;12;HEIDI DES LLORER;;G. SUREDA;G. Sureda;;2050 Ec3;Nesta Effe (it)-Nikita Bi (it);598;;1.20.5;1217;0-D-3-0-4-D;22.11.20-0-SP-2200-A-0-G. SUREDA;;
3ª CARRERA;;Premi MON BLAI;;;;;;;;;;;;;;A les 18:50
;;;;;;;TROTADOR FRANCES;;;;;;;;;
Al Trote Enganchado;;Distancia 2.050m.;;PLACA NEGRA - NUMERO BLANCO;;;Matrícula 22€;;Forfait 20% del premio;;Cambio Conductor 18€;;;;;Autostart
;;1100€ en premios: 506 al 1º, 252 al 2º, 132 al 3º, 78 al 4º, 56 al 5º, 44 al 6º, 32 al 7º;;;;;DE 3 i mes anys, nacionals de 700 / 1.299,99 €.;;;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMAS;;R.Abs;;R.Dist CLASIF.;ULTIMA CARRERA;;
Cuadra Ca'n Llunes;1;GANGA JET;;J. NADAL B.;J. Nadal Ll.;;2050 En4;Orlando Vici (fr)-Jet Set;720;;1.20.7;1207;4-2-2-3-3-0;29.11.20-4-MN-2050-A-1.21.5-J. NADAL B.;;
Cuadra Can Somereta;2;HAPPY GIRL RV;;M. RIERA B.;A. Vaquer S.;;2050 Ec3;Stormy De Touvois (fr)-Twiggy Du Pont;814;;1.19.0;1213;D-3-1-D-3-D;29.11.20-D-MN-2050-A-0-A. VAQUER S.;;
Cuadra Marina I Emma;3;GENTIL ORANGE;;M. A. MASCARO R.;M. A. Mascaro;;2050 Ca4;He's A Gangster (se)-Raison Orange (fr);818;;1.20.1;1215;3-0-2-6-4-5;29.11.20-3-MN-2050-A-1.21.5-M. A. MASCARO R.;;
Cuadra J.m.g.;4;ESTEL DE NURIA;;J. MESTRE G.;S. Ferrer S.;;2050 Ec6;S J's Photo (us)-Serenata Vx;846;;1.20.1;1221;6-6-0-0-0-6;29.11.20-6-MN-2050-A-1.22.1-J. MESTRE G.;;
Cuadra Serra-mesquida;5;GENEVA PARK SM;;J. A. GARCIA;M. Serra M.;;2050 Ec4;Kent Barbes (fr)-Marina Park Sm;878;;1.21.2;1213;D-4-0-D-1-D;29.11.20-D-MN-2050-A-0-J. BAUZA B.;;
Instalaciones Andres Vich;6;HAWAII CROWN;D4;B. MASCARO;M. Vich C.;;2050 Ec3;S J's Photo (us)-Dream Night Star (se);918;;1.20.5;1207;5-3-1-D-3-5;29.11.20-5-MN-2050-A-1.22.0-A. VALLS;;
Cuadra J.m.;7;HAPPY JM;DP;J. M. JUAN;J. M. Juan;;2050 Cc3;Jaded (se)-Una Altra De Llevant;1.128;;1.19.0;1220;0-4-3-3-D-5;08.11.20-0-SP-2150-A-0-J. M. JUAN;;
Cuadra Veloz;8;FLETXA;;B. BENNASAR;A. Riera G.;;2050 Ec5;Oh Deco Sb-Espira Des Bosc;1.130;;1.20.5;1217;0-0-7-3-3-0;17.10.20-0-MN-2375-A-0-M. RIERA B.;;
Cuadra Son Reus;9;GALA SR;;F. BENNASAR;And. Rossello;;R2050 Ec4;Sultan Bs-Ona Sr;1.152;;1.19.9;1199;0-5-0-D-6-D;21.11.20-0-MN-2050-A-0-J. BAUZA B.;;
Cuadras Segui;10;HAMMER;;J. RIERA S.;A. Janer R.;;2050 Ca3;Onyx Jiel (fr)-Qualine Du Parc (fr);1.217;;1.18.8;1216;5-5-4-2-D-7;22.11.20-5-SP-2200-A-1.20.7-J. RIERA S.;;
Can Solivellas;11;HENARA ROTJA RS;;A. FRONTERA;R. Solivellas B;.;2050 Ec3;From Above (se)-Henara Negra Gs;1.298;;1.18.9;1210;2-1-1-2;29.11.20-2-MN-2050-A-1.21.0-A. FRONTERA;;
4ª CARRERA;;Premi EGO;;;;;;;;;;;;;;A les 19:15
;;;;;;;TROTADOR FRANCES;;;;;;;;;
Al Trote Enganchado;;Distancia 2.050m.;;PLACA NARANJA - NUMERO NEGRO;;;Matrícula 20€;;Forfait 20% del premio;;Cambio Conductor 18€;;;;;Autostart
;;1000€ en premios: 460 al 1º, 230 al 2º, 120 al 3º, 70 al 4º, 50 al 5º, 40 al 6º, 30 al 7º;;;;;De 3 i mes anys, inscrits a l'stud book Frances, Danes, Suec, Ialia i America de 0 / 24.999,99 €.;;;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMAS;;R.Abs;;R.Dist CLASIF.;ULTIMA CARRERA;;
Quadres De L'oison;1;FAKIR DU BAG (FR);;A. FRONTERA;A. Frontera;;2050 Cc5;Quaker Jet (fr)-Haltise Du Morin (fr);895;;1.16.8;1177;2-7-0-5-0-0;05.11.20-2-MN-2050-A-1.18.0-A. FRONTERA;;
Cuadra Perfumeria Bruni 8 S;2;HAMILTON SPORT (FR);;G. ANDREU;J. Ortega M.;;2050 Cc3;Jag De Bellouet (fr)-Sanaga Leave Me (fr);9.450;;1.16.7;;;Debutant;;
Cuadra Es Pou Florit S.l.;3;FILADELFIA (FR);;G. RIERA;J. Janer M.;;2050 Ec5;Jag De Bellouet (fr)-Sagaie (fr);11.276;;1.17.9;1170;D-D-0-2-3-2;05.11.20-D-MN-2050-A-0-D. OLIVER;;
