ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_19-01-2020;ARAB POET (GB);6;7;62;J. GELABERT;RIO CUBAS;E. LEON;2;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;IMPRESSIONANT (USA);3;5;61;R.N. VALLE;ALISARES;G. MADERO;6;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;CAÑEDO;5;5;60;N. DE JULIAN;YEGUADA LA LLANA;A. REMOLINA;1;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;CUPPACOFFEE (IRE);1;6;59;V. JANACEK;EXTREMEÑA OP;M. AUGELLI;7;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;DARK PROFIT (IRE);2;8;57;F. JIMENEZ;MAZANTINNI;A. CARRASCO;3;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;EDDIE COCHRAN (IRE);8;4;57;N. SACCU;CARBIAL;O. ANAYA;9;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;EL JUNCO (FR);4;4;57;L. FONSECA;BEST HORSE;G. VAZ;4;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;SUCH PROMISE (GB);7;4;57;C.A. LOAIZA;A GRANXA;H. PEREIRA;5;Gran Hipódromo de Andalucía;1600;HIERBA
5_19-01-2020;QUINCHIA (IRE);99;4;56,5;J.L. MARTINEZ;CELSO MENDEZ;M. ALVAREZ;8;Gran Hipódromo de Andalucía;1600;HIERBA
