ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_31-01-2021;DELTA CRUCIS (USA);3;10 años;52,5;M.FERNANDEZ;LAS AGUILAS;A.CARRASCO;7;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_31-01-2021;PARABAK (FR);99;6 años;62;SR. SARABIA, D.A.;RIO CUBAS;I.LOPEZ;5;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_31-01-2021;ROBLE (GB) (a);4;4 años;60;J.GELABERT;LOUGHTOWN STUD LTD.;E.LEON;3;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_31-01-2021;FIRST CORNILLIERE (FR);3;7 años;60;R.SOUSA;PEREIRA PEREIRA JOKER;D.TEIXEIRA;2;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_31-01-2021;ORBAYO (IRE);2;5 años;59,5;M.FERNANDEZ;LAS AGUILAS;A.CARRASCO;1;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_31-01-2021;SUPER JOHN (FR);1;5 años;55,5;B.FAYOS;E. PEREZ GUZMAN;J.A.RODRIGUEZ;4;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
