[image];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Hipódromo de Son Pardo 01-02-17
Peña Bonanza;5;VALENT;;B. MASCARO;R. Orfila C.;2150;Cc8;Captain Cook (us)-Elisabet;25.907;1.15.9;1159;3(16)-4-2-4-5-3;11.01.17-3-SP-2650-A-1.19.3-A. VALLS
Instalaciones Andres Vich;6;CLAUDY'S CROWN;DP;J. FLUXA;M. Vich C.;2150;Ea5;Password (fr)-Lindys Spring (se);32.104;1.14.9;1169;0(16)-1-2-2-1-D;11.01.17-0-SP-1650-A-0-J. FLUXA
Cuadra H.m.;7;A QUEEN OF GLORY;DA;F. BENNASAR;H. Rigo;2150;En7;Amadeus Om (it)-Queen Arbos (se);30.940;1.12.9;1149;0(16)-R-6-0-0-3;25.01.17-0-SP-2150-A-0-M. RIERA B.
Cuadra Ramat Jove S.l.;8;BABY SUND;DA;M. MESTRE;R. Orfila C.;2150;Ec6;Fairbank Gi (it)-Roxette Sund (se);26.849;1.16.6;1166;(16)-1-1-7-1-1-3;27.12.16-1-SP-2150-A-1.17.0-M. MESTRE
Cuadra Son Mas Vell;9;BEST IN;;A. FRONTERA;A. Frontera;2150;Ec6;Tap In (us)-Bix Bride (se);23.926;1.16.4;1164;5-4(16)-0-7-0-5;11.01.17-5-SP-2650-A-1.19.4-A. FRONTERA
Quadres Valls Rullan;10;VICTORIOS;;A. VALLS;A. Valls;2150;Cc8;Love You (fr)-Elita Tos (se);28.354;1.15.8;1159;(16)-6-D-6-D-0-6;27.12.16-6-SP-2150-A-1.18.1-A. VALLS
Cuadra H.m.;11;CAROL HM;;M. RIERA B.;H. Rigo;2150;En5;Oh Tap In Hm-The Queen Hm;29.660;1.16.4;1178;0(16)-D-0-0-0-0;08.01.17-0-MN-2375-A-0-M. RIERA B.
Cuadras Cafe 1990;12;BORIS SAS;DP;J. A. RIERA;M. Andreu M;2150;Cc6;Idjet Mab (fr)-Invidia Del Nord (it);31.618;1.15.5;1158;2(16)-7-0-3-2-2;08.01.17-2-MN-2375-A-1.20.9-G. ANDREU
Cuadras Cafe 1990;13;BECKER SAS;;J. BAUZA B.;M. Andreu M;2150;Cc6;Idjet Mab (fr)-Fatina Trio (it);23.912;1.16.2;1169;6(16)-0-6-0-0-5;11.01.17-6-SP-2650-A-1.19.4-J. BAUZA B.
Cuadras Es Cabanells;14;CHAPEAU DE FONT;;G. RIERA;Mª. F. Sureda;2150;Cc5;Repeat Love (fr)-Dalia De Kit;39.219;1.16.0;1160;0(16)-3-6-7-0-6;11.01.17-0-SP-1650-A-0-G. RIERA
Cuadra Gaseni;15;VERI DE FONT;;D. FERNANDEZ;D. Fernandez;2150;Cc8;In Love With You (fr)-Dalia De Kit;30.102;1.14.3;1155;(16)-D-D-0-0-3-2;31.12.16-D-SP-2650-A-0-S. SALORD
3ª CARRERA;;Premi SAINT-GALMIER (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 18:55
;;;;;;TROTADOR FRANCES;;;;;;;
Al Trote Enganchado;;Distancia 2.150m.;;;;PLACA NARANJA - NUMERO NEGROMatrícula 39€;;;Forfait % del premio;;;Cambio Conductor 18;Autostart
5250€ en premios: 2.416 al 1º, 1.208 al 2º, 630 al 3º, 368 al 4º, 262 al 5º, 210 al 6º, 156 al 7º;;;;;;De 3 y más años, inscritos en el stud book frances, de 65.000 / 149.999,99€.;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.AbsR.Dist;;CLASIF.;ULTIMA CARRERA
Cuadra H.m.;1;TEAM WINNER (FR);D4;J. C. ROTGER;H. Rigo;2150;Cc10;Ganymede (fr)-Darcana Du Rocher (fr);137.260;1.15.3;;7;25.01.17-7-SP-2650-A-1.17.2-J. C. ROTGER
Cuadra Balear;2;URANIE DU VAL (FR);;S. CONTESTI;A. Puig R.;2150;Ec9;Islero De Bellouet (fr)-Melody Du Val (fr);69.335;1.15.5;1173;0-0(16)-D-4-0-0;18.01.17-0-SP-2650-A-0-S. CONTESTI
Cuadra Son Vall Fogo;3;QRISTO D'YMER (FR);D4;Jme. FLUXA;Jme. Fluxa;2150;Cc13;Jam Pridem (fr)-Gazelle D'ymer (fr);149.851;1.14.6;1159;7-0(16)-5-0-D-7;18.01.17-7-SP-2650-A-1.17.7-Jme. FLUXA
Peña Bonanza;4;UNO LATINO (FR);;M. MESTRE;R. Orfila C.;2150;Ca9;Gratius Williams (fr)-Latine (fr);132.733;1.14.1;1148;1-1(16)-1-2-4-7;18.01.17-1-SP-2650-A-1.16.6-M. MESTRE
