Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
;;;;;;;[image];;;;
;;;;;;;Programa de Carreras - 2 de diciembre de 2012;;;;
;;;;;;;Gran Hipódromo de Andalucía Javier Piñar Hafner-Participantes día 02/12/12;;;;
;1ª Carrera;;;PREMIO CRIA NACIONAL (AMAZONAS Y GENTLEMEN);;;6.800 Euros a repartir -1.600 metros;;;Hora: 12:20 h.;
4;CHIRIVITO;;58;4;SRTA. CASADO, M. (56);UNIVERSAL MERCHAN;J. LOPEZ;1;;[04,02,10,06,01];
5;GIMENA;;58;3;J. GROSJEAN;REZA PAZOOKI;F. RODRIGUEZ;10;;[10,04,01,02,03];
6;INDIAN LOU;;57;5;J.L. BORREGO;BARREIRO;J. C. ROSELL;6;;[07,08,11,09,05];
7;PENDENCIERO (USA);;57;5;R.H. HUAYAS;LA PAZ;J. A. RODRIGUEZ;11;;[10,05,08,02,05];
8;SUKARRIETA;(2);57;3;V. JANACEK;SAN MAMES;G. ARIZCORRETA;12;;[03,01,08,03,97];
9;RAMALLAH;;56;4;J.M. SANCHEZ C. (54);ODISEA;I. GOMEZ;7;;[10,04,08,06,03];
10;DELLA BEND (FR);(6);56;4;F. JIMENEZ;JIMENA;B. RAMA;2;;[05,06,04,03,01];
11;BARAÑAIN;;54;3;J.L. MARTINEZ;DOS ANGELES;D. DIEZ;8;;[09,06,11,10,12];
12;LONGUEIRON;;54;3;A. GOMEZ;PEREIRA SAT;J. C. LOPERA;4;;[04,07,97,04,08];
;5ª Carrera;PREMIO;;CRUZCAMPO;;;8.500 Euros a repartir -1.400 metros;;;Hora: 14:40 h.;
;CABALLO;;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;;ULTIMAS ACTUACIONES;
1;ANGEL MELODY (FR);;59;6;SR. SARABIA, D.;RIO CUBAS;D. SARABIA;6;;[06,01,02,01,02];
2;CORCUBION;;59;7;SR. NARVAEZ, M. (56);PEREIRA SAT;J. C. LOPERA;7;;[05,06,07,97,09];
3;SERGEI (IRE);;59;4;R. RAMOS;SUREÑA;J. A. RODRIGUEZ;2;;[06,04,02,01,02];
4;COMPTON PARK (GB);;58;5;V. JANACEK;RACHAEL TEASDALE RACING;J. L. EYRE;1;;[03,03,01,03,97];
5;SAPHIRSIDE (IRE);;58;3;J. GROSJEAN;SAFSAF;M. DELCHER. S;4;;[08,04,04,07,04];
6;ALBRET (IRE);(5);57;3;J.L. MARTINEZ;ASOC. WHYLAR-VALLADOLID;G. ARIZCORRETA;8;;[06,05,05,97,05];
7;EL AFRICANO;;57;5;J.L. BORREGO;LAS AGUILAS;A. GUTIERREZ;5;;[06,04,10,01,02];
8;ALMAZORA (GB);;56,5;3;A. GOMEZ;EL HERROJO;J. M. OSORIO;3;;[07,05,02,01,01];
;;;;[image];;;DIRECCIÓN DE COMUNICACIÓN;;;;
;;;;;;;Tel.: 91 596 25 23-24. Fax: 91 533 33 03;;;;
;;;;;;;www.loteriasyapuestas.es;;;;
