ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4-26-02-2012;MISSIN;5;6;56;J. CROCQUEVIEILLE;KINGS RACING;B. RAMA;8;Hipódromo Costa del Sol.;1600;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5-26-02-2012;CAMURAY;6;7;62;F. JIMENEZ A;Y. CORTIÑAL;E. LEON;4;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;COMPTON PARK (GB);3;5;60,5;S. MARTIN;RACHAEL TEASDALE RACING;J.L EYRE;2;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;CORCUBION;7;7;60,5;J. GROSJEAN;PEREIRA S.A.T.;J. C. LOPERA;7;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;BOMBADIL(IRE);4;5;59;A. GOMEZ;JEREZANA;J. CALDERON;5;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;DUNEDAIN(GB);99;4;59;SR. SARABIA . D.;RIO CUBAS;J. C. FERNANDEZ;9;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;VALLE(USA);5;4;59;O.O.DE URBINA;MALDON;M. DELCHER S.;1;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;BAHRAJ (USA);99;5;57,5;F. LYNCH;B.P. SAN MATEO;O. ANAYA;6;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;RAYO NEGRO(IRE);8;5;57,5;V. JANACEK;NANINA;J. CALDERON;8;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;SERGEI (IRE);2;4;57,5;J. CROCQUEVIEILLE;SAN JOSE;J. A. RODRIGUEZ;11;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;FACE THE FACT(SWE);10;10;56;J.E.JARCOVSKY;GABRIELLE VON ECKERMANN;O. ANAYA;13;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;TASHQEEL(GB);1;4;56;I. LOPEZ;SAN ACACIO;O. ANAYA;10;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;BETTY DIBEL (GB);9;4;54,5;J. M. SANCHEZ C.;SOÑADOR;J. C. MARTINEZ;3;Hipódromo Costa del Sol.;1200;ARENA
5-26-02-2012;HIGH CLASS LADY(GB);11;4;54,5;E. MELIAN;CASTILLO DE CHARETA;B. RAMA;12;Hipódromo Costa del Sol.;1200;ARENA
