Column1;Column2;Column3;Column4;Column5;Column6;Column7;[image];Column9;Column10;Column11;Column12
;;;;;;;5ª CARRERA - Premio Loterías y Apuestas del Estado (Potrancas) - 7.763 Euros a repartir - 2.100 mts. Hora: 13:35 h.;;;;
Nº;CABALLO;;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;;Últ. actuaciones*;
1;AZAFATA;-4;3 años;57;J.HORCAJADA;PILOTOS 747;LOPEZ, J.;6;;[03,08,03,05];
2;JARANA (FR);;3 años;57;J.CROCQUEVIEILLE;ROBERTO COCHETEUX;OSORIO, J.M.;5;;[03];
3;SPORTSIDE (IRE);;3 años;57;J.GROSJEAN;SAFSAF;DELCHER S., M.;2;;[02,08,05,06];
4;AGORA;;3 años;55;J.M.SANCHEZ C. (52);CIELO DE MADRID;RODRIGUEZ, O.;9;;[15,12];
5;DE LOCURA;;3 años;55;SRTA ZAPICO,S.;ODISEA;GOMEZ, I.;1;[;Debutante;]
6;LA GOBERNADORA (GB);;3 años;55;J.L.BORREGO;SANTA BARBARA;ARIZKORRETA, G.;7;[;Debutante;]
7;MARMARA;;3 años;55;A.GOMEZ (53) (B.Roja);ODISEA;GOMEZ, I.;3;;[05,NP,05];
8;OPIKKOPI;;3 años;55;V.JANACEK;USSIA-FIGUEROA;ARIZKORRETA, G.;4;;[NP];
9;SIXTEEN ROSES (GB);;3 años;55;J.L.MARTINEZ;DE GRANA Y ORO;MARTINEZ, J.L;8;;[05];
;;;;;;;;;;;
;;;;;[image];;DIRECCIÓN DE COMUNICACIÓN;;;;
;;;;;;;Tel.: 91 596 25 23-24. Fax: 91 533 33 03;;;;
;;;;;;;www.loteriasyapuestas.es;;;;
