Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;;;;;;;[image];;;;;;
;;;;;;;Programa de Carreras - 15 de abril de 2012;;;;;;
5;;ROYAL IMARI (USA)(12000);(3);5 años;60;O.O. DE URBINA;LA TOLEDANA;MAROTO, J.L.;;1;;[02,02,NP,04,01];
6;BAZTAN(9000);;;4 años;58,5;R.H.HUAYAS;CALEJAÑA;LOPEZ F, D.;;2;[;Debutante;]
7;;FRANCESCO CARA (FR)(9000);;4 años;58,5;B.FAYOS;SANTA BARBARA;CALLEJO S., T;;8;;[07,04,01,02,01];
8;;MEJORADA(12000);;4 años;58,5;A.GOMEZ (56,5);TRUST;SALAS, J.L. DE;;9;;[02,09];
9;;PERSICUS (GB)(9000);;6 años;58,5;C.FERNANDEZ (55,5);HISPANICA;FERNANDEZ R., J.C.;;11;;[04,10,01,02,05];
10;;DIXLESIO (IRE)(6000);;4 años;57;V.JANACEK;RIAS BAIXAS;LOPEZ, R.;;3;;[02,02,01,02,01];
11;;JIMMY FALABELLA (IRE)(6000);;7 años;57;J.C.CERQUEIRA;C.D.H. LOS ASPIRANTES 2 TUMBOS;CALLEJO S., T;;10;;[10,05,07,03,01];
12;;PICHUCA (GB)(6000);;4 años;55,5;R.C.MONTENEGRO;ROMANA ALTA;PEREZ, M.J.;;4;;[05,09,06,11,10];
;;;;;;5ª CARRERA - Gran Premio Cimera (Poule Potros) (Categoría A);- 41.400 Euros a repartir - 1.600 mts.;;Hora: 13:35 h.;;;;
Nº;;CABALLO;;EDAD;KG;JINETE;CUADRA;PREPARADOR;;CAJÓN;;Últ. actuaciones*;
1;;ALBRET (IRE);;3 años;57;V.JANACEK;QUINTO REAL;ARIZKORRETA, G.;;8;;[02,01,10,03,01];
2;;CELTIC ROCK (GB);;3 años;57;J.L.MARTINEZ;HABIT;FERNANDEZ R., J.C.;;6;;[04,05,02,01,03];
3;;JOROPO (FR);(5);3 años;57;R.C.MONTENEGRO;ROBERTO COCHETEUX;THOMAS, X.;;9;;[04,02,02,01,04];
4;;MATUSALEN;;3 años;57;J.HORCAJADA;MIRANDA;DELCHER S., M.;;1;;[08,05,01,01,01];
5;;NUREDYN (FR);;3 años;57;O.O. DE URBINA;ZURRAQUIN;HERNANDEZ, M.;;10;;[03,02,01,04];
6;;OBERON (IRE);;3 años;57;A.GOMEZ;ODISEA;GOMEZ, I.;;2;;[03,07,05,03,07];
7;;OTRO GINTONIC (GB);;3 años;57;J.L.BORREGO;EL FACTOR SORPRESA;ARIZKORRETA, G.;;4;;[02,06,01,06];
8;;RIKY ROCK (IRE);;3 años;57;B.FAYOS;BLOKE;RODRIGUEZ, J.A.;;7;;[01,02];
9;;SAPHIRSIDE (IRE);;3 años;57;J.GROSJEAN;SAFSAF;DELCHER S., M.;;3;;[01,07,01,02,NP];
10;;STRATVS CANARIAS (IRE);;3 años;57;J.CROCQUEVIEILLE;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;;5;;[01,01];
;;;;;;[image];DIRECCIÓN DE COMUNICACIÓN;;;;;;
;;;;;;;Tel.: 91 596 25 23-24. Fax: 91 533 33 03;;;;;;
;;;;;;;www.loteriasyapuestas.es;;;;;;
