ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4-5/02/2012;DIAMOND FOR EVER;12;59;5;J. GROSJEAN;ADELAI;F. RODRIGUEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;GREEN NIGHT (IRE;2;59;4;R. RAMOS;LAS AGUILAS;G. VILLARTA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;YES WE COULD (FR);1;59;5;J.C. CERQUEIRA;SILVER;T. MARTINS;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;DROP RISK (FR);7;58;9;F. JIMENEZ;JOLAM;E. OLGADO;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;ALDONZA (IRE);11;57;4;I. LOPEZ;LUZERPALHA;T. MARTINS;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;GRAN AGUILA (IRE);10;56;6;V. SANCHEZ (54);YEGUADA IGKAMAR;A. SANCHEZ C.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;NORTH EAST CORNER (USA);5;53;6;SRTA. GELABERT, L. (51);CASTILLO DE CHARETA;B. RAMA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;HANDSOME HUGO;4;52;4;A. GOMEZ;LA SUECA;J. C. LOPERA;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;SHARP EYE;9;52;4;M. GOMES(B.ROJA);LAS AGUILAS;G. VILLARTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
4-5/02/2012;EUROBETIS;6;50;6;J.M. SANCHEZ C. (49);SPANISH BLOODSTOCK AGENCY;M. ALVAREZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1800;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5-5/02/2012;BOTTEGA (USA);5;57;5;J.L. MARTINEZ;EL FARGUE;M. DELCHER S.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;BRAVE PROSPECTOR (GB);9;57;7;J. CROCQUEVIEILLE;C.D.H. LOS ASPIRANTES 2 TUMBOS;T. CALLEJO;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;KAYSERI;8;57;5;F. JIMENEZ;AREVACOS;A. CARRASCO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;LAAZEM (IRE);6;57;5;I. LOPEZ;HERMANOS GARCIA Y VEGA;O. ANAYA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;MIL AZUL;1;57;4;J.L. BORREGO;YEGUADA URDIÑ-ORIYA;J.L. DE SALAS;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;RUBENS;2;57;7;J. GROSJEAN;YEGUADA CORTIÑAL;J.C. FERNANDEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;TASHQEEL (GB);3;57;4;A. GOMEZ;SAN ACACIO;O. ANAYA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;WHISTLEINTHEWIND (IRE);7;57;5;O.O. URBINA;NANINA;J. CALDERON;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
5-5/02/2012;BARONIA;4;55,5;5;V. JANACEK;L' ETOILE;J.L. DE SALAS;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
