ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4-23/12/12;VICTOR'S BET;4;59;3;SR. NARVAEZ, M.A. (57);BETVICTOR;HALEY, P.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;DUNEDAIN (GB);7;58;4;SR. SARABIA, D.;RIO CUBAS;SARABIA, D.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;EL AFRICANO;2;58;5;M. SECCI;LAS AGUILAS;GUTIERREZ, A.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;DOMINGO NEGRO (IRE);10;54;3;J.L. BORREGO;POPULAR;ARIZKORRETA, G.;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;VALERIANO (IRE);8;53;3;M. GOMES;MEDITERRANEO;DELCHER S., M.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;QUEENSIDE (USA);9;53;4;R.H. HUAYAS (53,5);LA VICTORIA;RODRIGUEZ, J.A.;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
4-23/12/12;REAL TIGRESS (IRE);3;52;3;SRTA. BUESA, C. (51) (BDA. ROJA);BETVICTOR;ARIZKORRETA, G.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5-23/12/12;SEMINOLE CRY (USA);2;59,5;7;M. SECCI;CARRERAS INT.;EYRE, J.L.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5-23/12/12;GRAN CHIPI (FR);3;57,5;3;J.L. BORREGO;POPULAR;ARIZKORRETA, G.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5-23/12/12;TURRIALBA;4;57,5;5;F. JIMENEZ;INSTAGONZA;PEREZ, F.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5-23/12/12;LATE TELEGRAPH (IRE);1;56,5;4;O.O. DE URBINA;RIO CUBAS;ANAYA, O.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5-23/12/12;PASIEGA (IRE);5;55;3;A. GOMEZ;BERING;MAROTO, J.L.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
;;;;;;;;;;;
