ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3-08/01/2012;PADRON;1;55;4;A. GOMEZ (53);PEREIRA S.A.T;J. C. LOPERA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4-08/01/2012;DAVAY (USA);8;62;4;J.C. CERQUEIRA;LUIS ALBERTO NUÑEZ;J. A. RODRÍGUEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;SINGAPORE GUY (FR);5;61;6;J.L. MARTINEZ;CELSO MENDEZ;E. GALLARDO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;ALHAPRINCE (IRE);9;60;8;SR. SARABIA, D.;RIO CUBAS;J. C. FERNÁNDEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;EL AFRICANO;3;59;5;R. RAMOS;LAS AGUILAS;G. VILLARTA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;LITERARIO;10;59;4;F. JIMENEZ;LOS ESPARTANOS;J. C. FERNÁNDEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;PRECIADOS (IRE);11;58;6;J.L. BORREGO;RETIRO;M. ÁLVAREZ;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;VODKA LEMON;4;58;4;R. HUAYAS;DOS HERMANOS;A. GUTIÉRREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;MISSIN;7;57;6;R. NAYLOR (55);KINGS RACING;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;AROUSA;2;56;5;A. GOMEZ (54);PEREIRA S.A.T;J. C. LOPERA;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;HEART IN MOTION (IRE);99;56;4;J.E. JARCOVSKY;ANTON;B. RAMA;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;BARATHEA BAY (IRE);6;56;4;J.M. SANCHEZ C. (54);TIZIANO;M. DELCHER S.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
4-08/01/2012;SALTERGATE (GB);1;55;4;I. LOPEZ (56);INSTAGONZA;O. ANAYA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5-08/01/2012;DOMESIDE (GB);1;61;6;J. GROSJEAN;SAFSAF;M. DELCHER S.;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;ACHTUNG;2;59;4;V. JANACEK;ENALTO;R. LÓPEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;CALAMARGO (IRE);4;57;5;J.L. BORREGO;JIMENA;A. F. SANCHEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;ILUSIONISTA;99;56;6;A. GOMEZ;ODISEA;I. GOMEZ;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;LE COURLIS (FR);6;56;9;R. RAMOS;EL SWING;B. RECIO;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;RED BARCELONA (IRE);99;56;4;S. MARTIN;CASTILLO DE CHARETA;Propietario, art. 11 C.de Carr.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;SEMINOLE CRY (USA);3;56;7;J.L. MARTINEZ;CARRERAS INTERNATIONAL;J. L. EYRE;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;DON HERNANDO HAB;5;55;4;F. JIMENEZ;GONZALO HERNANDO-ABOIN;A. CARRASCO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;MANLY DREAM (FR);8;54,5;4;R. HUAYAS;INTERNORTE;T. MARTINS;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
5-08/01/2012;VOLCAN CANARIAS (IRE);7;54;4;M. GOMES;GRUPO BOLAÑOS GRAN CANARIA;Propietario, art. 11 C.de Carr.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2800;HIERBA
