Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 27-01-2021;Column18;Column19;Column20
Peña Bonanza;;2;E1;GALA STAR;;Mª. RIERA M.;Mª. Riera M.;;2650 Ec5;;Shakir Star-Domino Sund (se);;7.068;1.15.8;;(20)-0-3-1-5-4-4;02.12.20-0-SP-2150-A-0-G. ANDREU;;
Cuadra Ca Sa Rossa;;3;;GAMUSINA ROSSA;DP;J. FLUXA;F. Llabres;;2650 Ec5;;From Above (se)-Nordica Boko;;5.951;1.15.1;;D(20)-0-0-7-D-1;10.01.21-D-MN-2050-A-0-J. FLUXA;;
Cuadra H. M.;;4;;EVER JADA;D4;J. C. ROTGER;P. Estelrich;;2650 Ca7;;Orateur (fr)-One Kiss Melody (fr);;7.919;1.16.7;1.17.4;2(20)-0-D-2-0-4;06.01.21-2-SP-2650-A-1.17.4-J. C. ROTGER;;
Peña Bonanza;;5;E1;GEA MAR;;G. ANDREU;Mª. Riera M.;;2650 Ec5;;Coktail Jet (fr)-Simexite Tirety;;5.638;1.17.2;1.19.3;D(20)-D-4-3-D-3;13.01.21-D-SP-2150-A-0-G. ANDREU;;
Scuderia Toscana;;6;;GALLAHAN;DP;Ant. ANDREU M.;A. Frontera;;2650 Cc5;;From Above (se)-Vainilla Cat;;5.124;1.17.6;1.18.5;0(20)-D-0-R-3-5;13.01.21-0-SP-2150-A-0-Ant. ANDREU M.;;
Cuadra Son Blai;;7;;GENESIS;;A. FRONTERA;A. Frontera;;2650 Ec5;;Union Blai-Toscana Blai;;5.192;1.17.4;1.18.8;0-5(20)-D-0-D-D;17.01.21-0-MN-2375-A-0-A. FRONTERA;;
Cuadra Tot Un Somni;;8;;GIANT'S CAUSEWAY;;J. BAUZA B.;J. A. Hernandez N.;;2650 Cc5;;Repeat Love (fr)-Tout Un Reve;;7.962;1.16.2;;1(20)-1-1-D-D-5;13.01.21-1-SP-2150-A-1.17.0-J. A. HERNANDEZ N.;;
Cuadra Lloritana;;9;;FAUNA HR;;J. FORTEZA R.;M. A. Reinoso;;2650 Ec6;;New Star Blai-Noa;;6.618;1.16.8;;0-1(20)-7-1-0-7;13.01.21-0-SP-2150-A-0-A. Mª. COSTA;;
Cuadra Ca'n Prim;;10;;GIAN CARLO SAS;;A. RIERA B.;A. Riera B.;;2650 Cc5;;O'sullivan (fr)-Umbrella Sas;;6.066;1.16.2;;5(20)-5-2-4-3-2;13.01.21-5-SP-2150-A-1.17.1-A. RIERA B.;;
Cuadra Son Peladí;;11;;DALLAS VICTORY;;Ju. PONS P. (AP);R. Matas M.;;2650 Cc8;;Musigny Degato (se)-Miss Victory;;7.366;1.15.3;1.18.6;2-0(20)-5-3-0-0;17.01.21-2-MN-2375-A-1.18.1-Ju. PONS P.;;
Gabriel Cañellas Fiol;;12;;GORA D'ES PI;;G. CAÑELLAS;G. Cañellas;;2650 Cc5;;Blay D'es Pi-Nadia Star;;7.664;1.15.7;1.16.4;6(20)-D-6-4-D-5;06.01.21-6-SP-2650-A-1.17.9-G. CAÑELLAS;;
Cuadra Ladil;;13;;GALA DE LADIL;;S. POCOVI;J. Pocovi;;2650 Ec5;;Athos D'ecajeul (fr)-Samba De Ladil;;8.608;1.16.0;1.17.9;D-5(20)-D-3-D-3;20.01.21-D-SP-2650-A-0-S. POCOVI;;
3ª CARRERA;;;;Premi NUMBELA (PREMIUM);;;;;;;;;;;;;;A las 11:15;
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA NEGRA - NUMERO BLANCO;;;Matrícula 30€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;;Autostart
;;;;4000€ en premios: 1.840 al 1º, 920 al 2º, 480 al 3º, 280 al 4º, 200 al 5º, 160 al 6º, 120 al 7º;;De 4 y más años, nacionales de 2.000 / 4.999,99 €.;;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;;
