Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 20-01-2021;Column18;Column19
Cuadra Es Pou Florit S.l.;;5;;ES GONYADOR DE FONT;;J. RIERA S.;G. Riera;;2150 Cc7;;S J's Photo (us)-Dalia De Kit;;53.704;1.13.7;1.14.9;(20)-2-5-6-D-3-5;30.12.20-2-SP-2650-A-1.16.2-G. RIERA;
Cuadra Ja Vorem;;6;;ENEMIC;DA;M. BOSCH;M. Bosch;;2150 Cc7;;Brandy Dei Fiori (it)-Ginesta Clissa;;78.606;1.14.7;1.14.7;(20)-3-4-1-1-1-2;30.12.20-3-SP-2650-A-1.16.2-M. BOSCH;
Cuadra Ladil;;7;E1;DOJO DE LADIL;;Jme. FLUXA;J. Pocovi;;2150 Ca8;;Kent Barbes (fr)-Selva De La Vallee (fr);;70.089;1.14.2;1.14.2;(20)-D-3-1-1-4-1;27.10.20-D-SP-2650-A-0-J. FLUXA;
Cuadra Yamo-llevant;;8;;FRESQUET DE LLEVANT;DA;A. FRONTERA;A. Frontera;;2150 Cc6;;From Above (se)-Nit De Llevant;;43.835;1.14.8;1.14.8;(20)-0-7-1-2-D-6;30.12.20-0-SP-2650-A-0-J. FORTEZA R.;
Peña Bonanza;;9;E3;EASY MAKER SB;;Mª. RIERA M.;Mª. Riera M.;;2150 Ec7;;Zola Boko (se)-Omni Maker Sb;;41.789;1.14.8;1.14.8;(20)-7-1-2-1-1-D;30.12.20-7-SP-2650-A-1.16.5-G. ANDREU;
Peña Bonanza;;10;E3;ESTRELLA DE FONT;;C. RIERA M.;Mª. Riera M.;;2150 Ec7;;S J's Photo (us)-Deninet Star;;35.186;1.14.7;1.15.6;2(20)-2-1-1-5-1;01.01.21-2-SP-2650-A-1.18.8-G. ANDREU;
Juan Lliteras Mulet;;11;;FURIANT DECO;;G. RIERA;G. Riera;;2150 Cc6;;Oh Deco Sb-Ole Ole;;34.770;1.13.4;1.14.6;1(20)-1-2-1-1-1;01.01.21-1-SP-2650-A-1.18.7-G. RIERA;
Bartolome Serra Amengual;;12;E2;EMOCION BS;DA;A. VALLS;M. Salleras;;2150 Cc7;;Repeat Love (fr)-Novacion Jr;;36.559;1.14.7;1.14.9;(20)-3-3-2-1-D-0;18.12.20-3-SP-2650-A-1.17.7-F. BENNASAR;
Cuadra Tot Un Somni;;13;;GUACAMOLE;;J. BAUZA B.;M. Genovart A.;;2150 Cc5;;Love You (fr)-Sans Sousi Dream (ca);;42.890;1.14.8;1.14.8;(20)-D-2-1-1-1-1;30.12.20-D-SP-2650-A-0-J. BAUZA B.;
3ª CARRERA;;;;Premi ANGERS (PREMIUM);;;;;;;;;;;;;;A las 17:55
;;;;TROTADOR FRANCES;;;;;;;;;;;;;;
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA NARANJA - NUMERO NEGRO;;;Matrícula 34€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;Autostart
;;;;4500€ en premios: 2.070 al 1º, 1.036 al 2º, 540 al 3º, 314 al 4º, 226 al 5º, 180 al 6º, 134 al 7º;;De 3 y más años, inscritos en el Stud Book Frances de 60.000 / 119.999,99 €.;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Binimelis-müller, S.l.;;1;;DARLING DE LA NOE (FR);D4;M. A. BINIMELIS;M. Amer;;2650 En8;;Jasmin De Flore (fr)-Quelodie De La Noe (fr);;68.924;1.15.0;1.15.9;6(20)-1-0-0-0-1m;10.01.21-6-MN-2050-A-1.17.3-M. AMER;
