ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_14-2-2021;ELMIRA;9;4 años;51;N.GARCIA;4 C;J.A.RODRIGUEZ;2;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
4_14-2-2021;TE KOOP (GB);8;6 años;51;J.GELABERT (52);LEONESA;J.LOPEZ;1;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_14-2-2021;ELYSIAN STAR (FR);6;7 años;62;J.L.MARTINEZ;IGUELDO;B.MORENO;5;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
5_14-2-2021;COLIBRI (IRE);4;7 años;61;F.JIMENEZ;BARRA SUR;L. ENNOUNI;4;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
5_14-2-2021;ORBAYO (IRE);1;5 años;60;M.E.FERNANDEZ;LAS AGUILAS;A.CARRASCO;2;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
5_14-2-2021;TONDERO (FR);3;4 años;59;L.FONSECA (56,5);SIEMPRE FANI;T.MARTINS;6;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
5_14-2-2021;ST PETERS BASILICA (IRE);2;5 años;59;B.FAYOS;ENRIQUE FERNANDEZ DE VEGA;J.LOPEZ;3;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
5_14-2-2021;RONEO (FR);5;6 años;57,5;R.SOUSA;HERDADE GOMES;R.AON;1;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
;;;;;;;;;;;
