ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_26-04-2018;PRINCE ALAY (GB);10;5;53;N. DE JULIAN (G. Azul);TRES MALAGUEÑAS;J. SALGUERO;5;Gran Hipódromo de Andalucia;1400;ARENA
4_26-04-2018;THE LAST ONE;99;7;52;D. FERREREIRA (55);AGRO CARVALHO;G. VAZ;6;Gran Hipódromo de Andalucia;1400;ARENA
4_26-04-2018;MARIA BRAVA;99;4;52;A. GUTIERREZ B. (50);CELSO MENDEZ;J. LOPEZ;11;Gran Hipódromo de Andalucia;1400;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_26-04-2018;FALKIRK (IRE);4;7;60;B. FAYOS;RIO CUBAS;O. ANAYA;7;Gran Hipódromo de Andalucia;2100;ARENA
5_26-04-2018;KHALAAS (GB);1;6;60;R. SOUSA;TINERFE;O. ANAYA;1;Gran Hipódromo de Andalucia;2100;ARENA
5_26-04-2018;RIGHT CONNECTION (GB);3;6;60;I. MELGAREJO (57,5);LABERINTO;I. LOPEZ;6;Gran Hipódromo de Andalucia;2100;ARENA
5_26-04-2018;RISCHIATUTTO (IRE);6;5;60;A. FIORI;ANDREA;T. MARTINS;8;Gran Hipódromo de Andalucia;2100;ARENA
5_26-04-2018;MERON;2;5;59;J. GELABERT;ALGEMESI;O. ANAYA;5;Gran Hipódromo de Andalucia;2100;ARENA
5_26-04-2018;CIRIACO;5;8;58;V. JANACEK;MARBELLA;G. ARIZKORRETA;2;Gran Hipódromo de Andalucia;2100;ARENA
5_26-04-2018;BOUGON (FR);8;7;57;C.A. LOAIZA (55);ILIDIO FERREIRA;A. SILVA;4;Gran Hipódromo de Andalucia;2100;ARENA
5_26-04-2018;QOSSOMIR (FR);7;5;57;D. FERREIRA (55);STAR JOVEM;A. SILVA;3;Gran Hipódromo de Andalucia;2100;ARENA
;;;;;;;;;;;
