ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_26-10-2014;RANLOCO;10;4 años;50;N.GARCIA;RANCHO PILAR;MARTINS, T;9;Hipódromo LA ZARZUELA;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_26-10-2014;ABDEL (FR);6;6 años;58;J.CROCQUEVIEILLE;DUQUE DE ALBURQUERQUE;OSORIO, J.M.;5;Hipódromo LA ZARZUELA;2400;HIERBA
5_26-10-2014;ACHTUNG;2;6 años;58;M.GOMES;ENALTO;LOPEZ, J.;3;Hipódromo LA ZARZUELA;2400;HIERBA
5_26-10-2014;FORTUN (IRE);3;5 años;58;B.FAYOS;LA TOLEDANA;MAROTO, J.L.;6;Hipódromo LA ZARZUELA;2400;HIERBA
5_26-10-2014;INFINITY ONE;5;5 años;56,5;J.B.HAMEL;SALVADOR MARQUEZ;VALENTI, B.;4;Hipódromo LA ZARZUELA;2400;HIERBA
5_26-10-2014;NAVARRA;4;4 años;56,5;V.JANACEK;POPULAR;ARIZKORRETA, G.;2;Hipódromo LA ZARZUELA;2400;HIERBA
5_26-10-2014;ARKAITZ;1;3 años;55;J.L.MARTINEZ;DI BENISICHI;RODRIGUEZ, F.;1;Hipódromo LA ZARZUELA;2400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
6_26-10-2014;MIND (GB)(9000);2;3 años;60,5;I.BORREGO;ALBERO;ARIZKORRETA, G.;6;Hipódromo LA ZARZUELA;1800;HIERBA
6_26-10-2014;IL PRESUNTUOSO (FR)(9000);7;3 años;59;A.G.DELGADO (56);AGRADO;BUZON, E.;3;Hipódromo LA ZARZUELA;1800;HIERBA
