1_21-08-2011,4,3,0,1.0,2.0,5.0,,,,,,,,,,,,,,
1_22-01-2012,6,1,5,3.0,7.0,0.0,4.0,2.0,8.0,,,,,,,,,,,
1_22-04-2012,1,5,0,2.0,4.0,3.0,6.0,,,,,,,,,,,,,
1_22-08-2013,2,3,0,5.0,4.0,1.0,,,,,,,,,,,,,,
1_22-09-2013,2,0,3,1.0,4.0,,,,,,,,,,,,,,,
1_22-11-2015,2,5,3,6.0,0.0,1.0,4.0,,,,,,,,,,,,,
1_22-12-2013,4,5,2,3.0,6.0,1.0,0.0,,,,,,,,,,,,,
1_23-02-2014,4,5,2,9.0,1.0,6.0,8.0,7.0,10.0,3.0,11.0,0.0,,,,,,,,
1_23-10-2011,6,4,1,8.0,5.0,0.0,10.0,9.0,3.0,7.0,2.0,,,,,,,,,
1_24-05-2018,3,2,0,1.0,,,,,,,,,,,,,,,,
1_24-06-2012,4,2,7,6.0,5.0,0.0,8.0,3.0,1.0,,,,,,,,,,,
1_24-11-2013,6,1,2,3.0,0.0,4.0,5.0,,,,,,,,,,,,,
1_25-05-2017,6,3,5,2.0,4.0,0.0,7.0,1.0,,,,,,,,,,,,
1_25-09-2011,6,8,1,5.0,3.0,9.0,2.0,7.0,11.0,4.0,0.0,10.0,,,,,,,,
1_26-01-2014,6,5,2,3.0,0.0,4.0,1.0,,,,,,,,,,,,,
1_26-06-2011,6,4,2,5.0,1.0,0.0,3.0,,,,,,,,,,,,,
1_26-07-2012,2,0,4,1.0,5.0,3.0,,,,,,,,,,,,,,
1_26-08-2018,2,1,0,4.0,3.0,,,,,,,,,,,,,,,
1_26-11-2015,7,0,2,4.0,8.0,6.0,3.0,5.0,1.0,,,,,,,,,,,
1_27-11-2020,6,2,3,5.0,1.0,4.0,0.0,,,,,,,,,,,,,
1_28-06-2013,3,0,2,1.0,,,,,,,,,,,,,,,,
1_28-08-2011,3,0,1,2.0,4.0,5.0,,,,,,,,,,,,,,
1_28-5-2017,0,2,5,6.0,3.0,4.0,1.0,,,,,,,,,,,,,
