3_23-12-12,CAPTAIN BLUEBIRD (IRE),5,5.0,55.0,A.FIORI,ACASIÑA,"RAMA, B.",9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
4_19-01-2014,CHATARRILLA (FR),5,5.0,55.0,A.FIORI,ACASIÑA,"ALVAREZ, M.",3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
5_24-01-2016,CIUDADANO KANE,3,6.0,52.5,A.FIORI,ACASIÑA,J. LOPEZ,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
4_23-12-12,CORCUBION,5,7.0,61.0,A.FIORI,ACASIÑA,"LOPERA, J.C.",8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
4_13-01-2013,CORCUBION,5,8.0,59.0,A.FIORI,ACASIÑA,"LOPERA, J.C.",4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
4_28-07-2012,CORCUBION,9,7.0,59.5,A.FIORI,ACASIÑA,J. C. LOPERA,9,HIPODROMO COSTA DEL SOL,1600,ARENA
2_27-01-2013,CORCUBION,2,8.0,60.0,A.FIORI,ACASIÑA,"LOPERA, J.C.",5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
2_20-01-2013,COSIDE (USA),8,5.0,62.0,A.FIORI,ACASIÑA,"LEON, E",7,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
3_30-12-2012,COVELO,4,7.0,61.0,A.FIORI,ACASIÑA,"LOPERA, J.C.",8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
3_7-07-2012,DELLA BEND (FR),6,4.0,58.0,A.FIORI,ACASIÑA,B. RAMA,7,HIPODROMO COSTA DEL SOL,2000,ARENA
1_27-01-2013,DEVIL BLACK,1,3.0,57.0,A.FIORI,ACASIÑA,"GOMEZ, I.",2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1000,HIERBA
