2_29-01-2017,ACAMANTE (FR),4,7.0,69.0,SR.SARABIA.D,RIOCUBASSL,O.ANAYA,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1300,HIERBA
3_21-10-2012,ACAMANTE (GB),9,2.0,56.0,A.GOMEZ,DUQUEDEALBURQUERQUE,J.M.OSORIO,3,HIPODROMO LA ZARZUELA,1600,HIERBA
3_27-09-2015,ACAMANTE (GB),11,5.0,58.0,A.J.GRATEROL,DUQUEDEALBURQUERQUE,J.M.OSORIO,7,HIPODROMO LA ZARZUELA,1200,HIERBA
2_25-05-2014,ACAMANTE (GB),4,4.0,56.0,B.FAYOS,DUQUEDEALBURQUERQUE,J.M.OSORIO,3,HIPODROMO LA ZARZUELA,1600,HIERBA
5_16-02-2014,ACAMANTE (GB),4,4.0,57.0,J.CROCQUEVIEILLE,DUQUEDEALBURQUERQUE,J.M.OSORIO,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
2_04-05-2014,ACAMANTE (GB),4,4.0,56.0,J.CROCQUEVIEILLE,DUQUEDEALBURQUERQUE,J.M.OSORIO,6,HIPODROMO LA ZARZUELA,1400,HIERBA
2_28-10-2012,ACAMANTE (GB),1,2.0,55.0,J.CROCQUEVIEILLE,DUQUEDEALBURQUERQUE,J.M.OSORIO,9,HIPODROMO LA ZARZUELA,1600,HIERBA
4_13-04-2014,ACAMANTE (GB),1,4.0,62.0,J.CROCQUEVIEILLE,DUQUEDEALBURQUERQUE,J.M.OSORIO,8,HIPODROMO LA ZARZUELA,1200,HIERBA
4_19-10-2014,ACAMANTE (GB),4,4.0,62.0,J.CROCQUEVIEILLE,DUQUEDEALBURQUERQUE,J.M.OSORIO,7,HIPODROMO LA ZARZUELA,1500,HIERBA
4_23-11-2014,ACAMANTE (GB),2,4.0,62.0,J.CROCQUEVIEILLE,DUQUEDEALBURQUERQUE,J.M.OSORIO,7,HIPODROMO LA ZARZUELA,1500,HIERBA
2_06-03-2016,ACAMANTE (GB),6,6.0,60.5,SR.SARABIA.D,RIOCUBASSL,O.ANAYA,2,HIPODROMO LA ZARZUELA,1100,HIERBA
1_17-04-2016,ACAMANTE (GB),6,6.0,59.5,J.GROSJEAN,RIOCUBASSL,O.ANAYA,10,HIPODROMO LA ZARZUELA,1100,HIERBA
3_2-06-2017,ACAMANTE (GB),1,7.0,61.0,SR.SARABIA.D.A,RIOCUBASSL,D.A.SARABIA,8,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
2_03-07-2016,ACAMANTE (GB),2,6.0,66.0,SR.SARABIA.D.A,RIOCUBASSL,O.ANAYA,9,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
