ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJ.;HIPODROMO;DISTANCIA;PISTA
4_14-07-2016;FAST CAT;99;3 años;61;J.L.BORREGO;NOSSA SENHORA DO VALE;H.PEREIRA;9;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
4_14-07-2016;LUNA BRUNA;0;9 años;61;C.A.LOAIZA;CARLOS ALVES;C.ALVES;1;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
4_14-07-2016;BALABINDU;4;6 años;59,5;V.JANACEK;ZEZINHO;J.C.CERQUEIRA;10;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
4_14-07-2016;MANOLETE;3;4 años;59;N.GARCIA;YEGUADA CORTIÑAL;J.A.RODRIGUEZ;3;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
4_14-07-2016;BALLAD OF MULAN;9;3 años;59;A.GOMEZ;GREILET;A.SANCHEZ C.;4;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
4_14-07-2016;FIONA;2;5 años;52,5;E.ARGUINZONES;EACHWAY;A.SANCHEZ C.;12;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
4_14-07-2016;FIGUEIRAS;99;6 años;52,5;L.ECHRRAA;PATITAS;S.SARRIAS;5;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
4_14-07-2016;PERSIAN VALLEY;5;5 años;52;J.GELABERT;LAS AGUILAS;T.CALLEJO M.;8;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJ.;HIPODROMO;DISTANCIA;PISTA
5_14-07-2016;BUSCAVIDAS;2;5 años;63;J.L.MARTINEZ;ODISEA;A.CARRASCO;1;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;CIRIACO;7;6 años;61;V.JANACEK;MARBELLA;G.ARIZKORRETA;3;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;AL TROPICAL;4;6 años;61;N.GARCIA;PALOMARES;J.A.RODRIGUEZ;7;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;DUBAI SPRING;11;7 años;60;SRTA BUESA,C.;ZEZINHO;J.C.CERQUEIRA;9;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;MILIKI;8;5 años;59,5;B.FAYOS;BRAVO TANGO ZULU;V.B.BUDA;6;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;MYTHICAL CLOVER;1;4 años;59;R.SOUSA;ALISARES;F.PEREZ;10;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;HONG KONG BOY;5;10 años;53,5;M.GOMES;QUINTA SANTA JUSTA MAIA;C.VIDINHA;11;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;VICARAGE;3;4 años;53;N.DE JULIAN;LAS AGUILAS;T.CALLEJO M.;4;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;KUVASZ;10;3 años;53;A.GOMEZ;SIAN KA'AN;J.C.CERQUEIRA;8;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;EBEON;9;5 años;53;J.GELABERT;NANINA;J.CALDERON;2;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
5_14-07-2016;ZULOAGA;6;5 años;52,5;G.MADERO;KAELA;R.MARTIN V.;5;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
